id,system,user,intent
39,"Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.","Service name: Homes_1
Active intent: 
Requested slots: 
Slot values: {}"
40,Is there anything else I can help you with?,No. That will be all. Thank you!,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}"
41,Do you prefer The Innocent?,Innocent is good!,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'title': 'The Innocent'}"
42,,Would you help me find a bus trip? I prefer Economy extra tickets.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy extra'}"
43,Your ticket has been successfully confirmed.,"Awesome, thanks for your help.","Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}"
44,Savings or checking?,Checking account.,"Service name: Banks_1
Active intent: CheckBalance
Requested slots: 
Slot values: {'account_type': 'checking'}"
45,There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year the song is from?,"Service name: Music_1
Active intent: LookupSong
Requested slots: year
Slot values: {}"
46,"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {'playback_device': 'bedroom speaker'}"
47,,I'm planning on going on a short trip with friends. Can you find me a bus?,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}"
48,Play it now?,"No, not yet.","Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}"
49,Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: total_price
Slot values: {}"
50,your room is booked,please search a song for me,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {}"
51,You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?","Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_name': 'restaurant reservation for 4 at Betty Spaghetti', 'event_time': '11 : 30 am'}"
52,How long would you like to have the room for?,I'd like to have the room for 3 days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '3'}"
53,,Can you find some attractions for me? I prefer a garden.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Park'}"
54,Where would you leave from and when are you going to be back?,I will be leaving from Los Angeles and be back on the 4th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin_city': 'Los Angeles', 'return_date': '4th of this month'}"
55,Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_date': '[CLS]'}"
56,4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Best Western Plus Las Vegas West'}"
57,,Can I make a restaurant reservation? I want it on March 12th.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'date': 'March 12th'}"
58,Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: outbound_arrival_time
Slot values: {'passengers': '1', 'seating_class': 'Economy'}"
59,I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': 'March 5th'}"
60,Sorry I was unable to make the appointment. Can I assist you with another task?,Try the reservation again. This time. Try it for 4:45 in the evening.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 : 45 in the evening'}"
61,What time works best for you?,See if they have any availability for 17:30.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '17 : 30'}"
62,"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
63,The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
64,"Yes, no cost.","Nice, I want to purchase a ticket to the bus you mentioned earlier.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
65,Shall I purchase the tickets now?,No. Not at this time.,"Service name: Buses_2
Active intent: 
Requested slots: 
Slot values: {}"
66,It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]', 'cuisine': 'Italian'}"
67,The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}"
68,Do you need more help?,I need to find a salon too.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}"
69,What name should I use for the event and what time? Is the event happening at 458 B Street?,Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_location': '458 B Street', 'event_name': 'Restaurant reservation for 4 at Mariscos El Patron', 'event_time': '19 : 30'}"
70,The car is on its way.,Will this dent my wallet? How long will it take?,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: approximate_ride_duration, ride_fare
Slot values: {}"
71,"There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.","That apartment sounds good, I would like to schedule a visit.","Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'property_name': 'Wilford Lane Apartments'}"
72,"You can contact them at 415-561-4900 and unfortunately, entry to this attraction is not free.","I see, could you make a reservation for the bus to visit this area please?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
73,What date are you interested in?,The 9th of this month and I would like a regular show.,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_type': 'regular', 'show_date': '9th of this month'}"
74,Would you like me to schedule a visit for you?,No. That will be all. Bye!,"Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}"
75,I was unable to schedule you for that time. How about an appointment at Sofia African Hair Braiding for 4 pm on March 5th?,"Sure, that works too.","Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 pm'}"
76,That's like goes to JFK International Airport.,"Perfect, I'll take that.","Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'outbound_departure_time': '[CLS]'}"
77,Their phone is 916-445-4422 and yes it's child-friendly.,I would like to find a house to stay there for two with a rating of 3.5.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
78,"Great, thank you. Your appointment has been set.",What is their phone number?,"Service name: Services_3
Active intent: BookAppointment
Requested slots: phone_number
Slot values: {}"
79,"No, the ticket is non refundable.",Are there any other available flights? It is for one person.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '1'}"
80,"What location will you depart from, and is there an airline you prefer, such as Alaska Airlines, Delta Airlines, or some other? What day do you intend to depart?","I am departing on the 1st of this month from LA, and I'd like to get American Airlines.","Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'departure_date': '1st of this month', 'origin_city': 'LA'}"
81,,Would you look for 1 hotel room?,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '1'}"
82,It's a pop show,And where do I find it? What time?,"Service name: Events_2
Active intent: FindEvents
Requested slots: time, venue_address
Slot values: {}"
83,"Do you wish to have consultation with Carla Stelling, Md, a Gynecologist in Oakland?",Yup that would work.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Carla Stelling , Md'}"
84,The flight takes off from McCarran International Airport but it is not a refundable ticket.,Thank you. I also need to find 1 hotel room there.,"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {}"
85,,Is there any Hip Hop events on the 12th.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'date': 'the 12th', 'subcategory': 'Hip Hop'}"
86,What hotel would you like to stay at?,Quest Bella Vista. I actually want to check in on March 7th now.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'March 7th', 'hotel_name': 'Quest Bella Vista'}"
87,"Done, its confirmed",thanks a lot,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
88,The show is a Hip Hop event.,I like how that sounds.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': '[CLS]'}"
89,,I have an upcoming trip. Can you find me one way flights?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
90,Return flight arrives at 0:16 am with 1 stop.,Thanks. Will you find attractions?,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}"
91,I can also suggest Darith Khay Inc. He is a General Practitioner in San Jose.,Okay. Can you tell me the weather conditions there on the March 13th?,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Darith Khay Inc'}"
92,For what time?,For 11 in the morning.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '11 in the morning'}"
93,It leaves from Seattle-Tacoma International Airport.,Please find out if it's an overnight flight and whether it has one stop.,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: is_redeye, number_stops
Slot values: {}"
94,"Confirmed, you got reservation.",Great help. Thank you.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
95,Need your confirmation to book that Citrus Salon at 4:30 pm on March 8th.,That is perfect and also get met the address details of that salon for my reference.,"Service name: Services_1
Active intent: BookAppointment
Requested slots: street_address
Slot values: {}"
96,I have 10 hotels that match what you are looking for. What about Ac Hotel By Marriott Beverly Hills? It is a 2 star.,How much is it per night and what is the address?,"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: price_per_night, street_address
Slot values: {}"
97,"Okay, can you confirm you'd like to rent a Standard car from Port Authority Station with a pickup on March 3rd at 4:30 pm and a drop off on March 8th?","Yup, that all sounds good to me.","Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: 
Slot values: {}"
98,Confirm March 5th for 2 at 11:45 am in Daly City at Jade Dragon Restaurant.,Change to three for Tai Yuan.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '3', 'restaurant_name': 'Tai Yuan'}"
99,WHen and where would you like to pick it up?,I want to pick it up from CDMX around 09:30.,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_city': 'CDMX', 'pickup_time': '09 : 30'}"
100,Please give confirmation details: Table booking at Ancient Szechuan Restaurant in El Cerrito city on march 11th at 7 pm and the booking is for 2 people,Yes this is perfect.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}"
101,"Sure, please confirm the details. Booking 1 flexible ticket from Las Vegas to Fresno on March 11th at 7:10 am.","Actually, change that to four people.","Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'group_size': '4'}"
102,,I need a San Mateo restaurant please.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': 'San Mateo'}"
103,No problem. You'd like the reservation on March 10th at 6:45 pm.,"Yes, that is correct.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2'}"
104,,Help me look for attractions I can visit. Preferable something with no entry fee.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'free_entry': 'True'}"
105,It is considered an international event.,"I think I will pass on that. Are there any other events you can show me? I am hoping for something rock music related, but in Phoenix instead of San Diego.","Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'rock', 'city': 'Phoenix'}"
106,This is a Pop event on 1234 West 7th Street.,Great. I would like to reserve tickets to that event.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'event_name': '[CLS]'}"
107,I have successfully reserved your car and the name of the car is Accord.,Thank you! Can you find me a hotel around Phoenix?,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: 
Slot values: {}"
108,Of course! In what area are you searching? And how many bedrooms would you want?,Petaluma is a great neighborhood. It would be great if the apartment has 2 bedrooms.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '2', 'area': 'Petaluma'}"
109,You could check out California Automobile Museum. It's a museum.,Any other attractions besides that? I want a kid friendly wildlife spot attraction.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Nature Preserve', 'good_for_kids': 'True'}"
110,What area are you looking in?,I would like to live in Sausalito.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'area': 'Sausalito'}"
111,In which restaurant?,"In Harumi, please","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'restaurant_name': 'Harumi'}"
112,Your are now confirmed.,What is their phone and address?,"Service name: Services_3
Active intent: BookAppointment
Requested slots: phone_number, street_address
Slot values: {}"
113,,I want to reserve a medium-sized car on March 10th,"Service name: RentalCars_2
Active intent: ReserveCar
Requested slots: 
Slot values: {'car_type': 'Standard', 'pickup_date': 'March 10th'}"
114,Enjoy.,"Thanks, that's all for now.","Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {}"
115,How about Suburban Birds?,Is there any other options?,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {}"
116,Would you like to make a reservation?,"No, not right now. That's all for now.","Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}"
117,Your ride has been confirmed and is in transit.,Can you recommend a restaurant in that area?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]'}"
118,Please confirm I have everything correct: A table for 2 people at Auryn Thai Cuisine in San Anselmo for 1 pm today.,No it is for five people and on the 14th of this month.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '5', 'date': '14th of this month'}"
119,,We have to arrange a party in the hotel for my relatives on a memorable occasion. Is there any suitable hotel to book 2 rooms.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '2'}"
120,Can you tell me where I should look for the attractions?,I am interested in finding a Museum in San Fran which welcomes children.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Museum', 'good_for_kids': 'True', 'location': 'San Fran'}"
121,Is there anything else I can help you with?,"No, thank you.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}"
122,How much would you like to transfer? Who are you transferring the money to? Which account would you like me to use?,I'm transferring 1550 bucks to Srinivas. Use my savings account.,"Service name: Banks_1
Active intent: TransferMoney
Requested slots: 
Slot values: {'account_type': 'savings', 'amount': '1550 bucks', 'recipient_account_name': 'Srinivas'}"
123,There are 6 possibilities. There's a bus leaving at 11:10 AM for a $53 flexible fare.,"Okay, good. Could you also find a hotel room for me?","Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'destination': '[CLS]'}"
124,Please confirm: You want me to a reservation for 3 rooms for 1 day in a Atrium Inn Vancouver located in Vancouver with the check in date as March 1st.,"Yes, That is correct.","Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
125,There is a Mets Vs Dodgers event at Citi Field tomorrow.,Wht is the address and what time does it start?,"Service name: Events_2
Active intent: GetEventDates
Requested slots: time, venue_address
Slot values: {}"
126,Your ticket purchase has been confirmed.,Great. Thank you for all your help.,"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {}"
127,"Sorry, I wasn't able to schedule the visit. Can I do anything else for you?","Nope, thank you.","Service name: Homes_1
Active intent: 
Requested slots: 
Slot values: {}"
128,"Sure thing, there are 10 options. Let's start with 1000 Kiely, this unit has 3 bed rooms and 3 baths. Apartment is located at 1000 Kiely Boulevard and is $4,300 monthly.",Well can you get me the phone number and find out if it comes furnished?,"Service name: Homes_1
Active intent: FindApartment
Requested slots: furnished, phone_number
Slot values: {}"
129,Yes. There is one at 10210 North 26th Drive. with a 3.8 rating.,That one will work better. That is all I need for now.,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}"
130,"Of course, there are 5 attractions you'd like. Try Aquarium of the Pacific, which is a nature preserve.","Great, any others?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
131,Mangia Mangia is a restaurant in Albany that serves Pizza and Pasta.,"Yes, that works. What time is the movie playing you found. I want to see a regular show on the 7th at Albany Twin.","Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_type': 'regular', 'location': '[CLS]', 'movie_name': '[CLS]', 'show_date': 'the 7th', 'theater_name': 'Albany Twin'}"
132,Your cab is on the way.,Thank you for your help!,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}"
133,"Confirm, playing Missing Link without subtitles.","No, play it with subtitles.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}"
134,"The venue is located at 33 Pearl Street Southwest, Washington, District of Columbia 20024, United States and it starts at 7:30 pm.",That sounds good to me.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': '[CLS]'}"
135,How about 1 song from James Blake's album Assume Form called Mile High?,That's awesome! Thanks!,"Service name: Music_2
Active intent: LookupMusic
Requested slots: 
Slot values: {'song_name': 'Mile High'}"
136,Shall I add your calendar event?,"Nope, I don't want any event added now. I will need to check my teeth as well. So look for a nice dentist around the same locale.","Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {}"
137,,When am I available on next Wednesday?,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': 'next Wednesday'}"
138,"Sure, I will help you, I found 10 songs for you, Do you like Adorn by Miguel in album kaleidoscope Dream?",Find another songs for me.,"Service name: Music_2
Active intent: LookupMusic
Requested slots: 
Slot values: {}"
139,Which city are you looking? Do you have an hotel in mind?,I would like a room at the Warner Center Marriott Woodland Hills in LAX please.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'destination': 'LAX', 'hotel_name': 'Warner Center Marriott Woodland Hills'}"
140,What would you find interesting?,What about a concert ?,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_type': 'Music'}"
141,There is Dr. Svetlana Naret with an office location in San Jose,Can you provide me with some more options,"Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {}"
142,"On March 13th, you have an Apartment viewing at 10 am.",Good. I need a cab for 2 people to 26100 Gading Road. I don't mind a shared ride.,"Service name: Calendar_1
Active intent: GetEvents
Requested slots: 
Slot values: {'event_name': 'Apartment viewing', 'event_time': '10 am'}"
143,,"I want to find a rental car for March 6th, pick up in New York.","Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_city': 'New York', 'pickup_date': 'March 6th'}"
144,What city do you want?,I want one in Novato with 3 bed rooms.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '3', 'area': 'Novato'}"
145,I have found 10 restaurants in san jose for you. How about 71 saint peter?,"Cool, I want to see a movie around there","Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'restaurant_name': '71 saint peter'}"
146,What date are you curious about?,I want to know about Wednesday next week.,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': 'Wednesday next week'}"
147,Do you want to buy a ticket?,Not at this time. What time is the show?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_type': 'dontcare', 'show_date': '[CLS]'}"
148,I found 1 event which suits your taste. The event is Jordan Rakei held at the Regent Theater DTLA.,Where is the venue located?,"Service name: Events_2
Active intent: FindEvents
Requested slots: venue_address
Slot values: {}"
149,There is 1 events which suits you. Padres vs Orioles is at Petco Park.,Great. What are some attractions there?,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': 'Padres vs Orioles'}"
