output,input,instruction
"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {}","system: your room is booked
user: please search a song for me","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_name': 'restaurant reservation for 4 at Betty Spaghetti', 'event_time': '11 : 30 am'}","system: You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.
user: Sounds good, when am I available?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '3'}","system: How long would you like to have the room for?
user: I'd like to have the room for 3 days.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Park'}","system: 
user: Can you find some attractions for me? I prefer a garden.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin_city': 'Los Angeles', 'return_date': '4th of this month'}","system: Where would you leave from and when are you going to be back?
user: I will be leaving from Los Angeles and be back on the 4th of this month.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_date': '[CLS]'}","system: Your reservation has been made. The price range is moderate.
user: Thanks, I want to add it to my calendar.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Best Western Plus Las Vegas West'}","system: 4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?
user: Ideal, I love that.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'date': 'March 12th'}","system: 
user: Can I make a restaurant reservation? I want it on March 12th.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: outbound_arrival_time
Slot values: {'passengers': '1', 'seating_class': 'Economy'}","system: Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.
user: That's awesome. What time do I arrive in Phoenix?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': 'March 5th'}","system: I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.
user: That works for me. I'd also like to find a room in a hotel there.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 : 45 in the evening'}","system: Sorry I was unable to make the appointment. Can I assist you with another task?
user: Try the reservation again. This time. Try it for 4:45 in the evening.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '17 : 30'}","system: What time works best for you?
user: See if they have any availability for 17:30.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","system: one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.
user: Give me more options please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: The concert hall is at 201 Van Ness Avenue.
user: Ok great. Can you help me with a restaurant nearby?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","system: Yes, no cost.
user: Nice, I want to purchase a ticket to the bus you mentioned earlier.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: 
Requested slots: 
Slot values: {}","system: Shall I purchase the tickets now?
user: No. Not at this time.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]', 'cuisine': 'Italian'}","system: It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.
user: That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}","system: The humidity will be 20 percent.
user: Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}","system: Do you need more help?
user: I need to find a salon too.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_location': '458 B Street', 'event_name': 'Restaurant reservation for 4 at Mariscos El Patron', 'event_time': '19 : 30'}","system: What name should I use for the event and what time? Is the event happening at 458 B Street?
user: Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RideSharing_1
Active intent: GetRide
Requested slots: approximate_ride_duration, ride_fare
Slot values: {}","system: The car is on its way.
user: Will this dent my wallet? How long will it take?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'property_name': 'Wilford Lane Apartments'}","system: There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.
user: That apartment sounds good, I would like to schedule a visit.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","system: You can contact them at 415-561-4900 and unfortunately, entry to this attraction is not free.
user: I see, could you make a reservation for the bus to visit this area please?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_type': 'regular', 'show_date': '9th of this month'}","system: What date are you interested in?
user: The 9th of this month and I would like a regular show.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}","system: Would you like me to schedule a visit for you?
user: No. That will be all. Bye!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 pm'}","system: I was unable to schedule you for that time. How about an appointment at Sofia African Hair Braiding for 4 pm on March 5th?
user: Sure, that works too.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'outbound_departure_time': '[CLS]'}","system: That's like goes to JFK International Airport.
user: Perfect, I'll take that.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","system: Their phone is 916-445-4422 and yes it's child-friendly.
user: I would like to find a house to stay there for two with a rating of 3.5.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: BookAppointment
Requested slots: phone_number
Slot values: {}","system: Great, thank you. Your appointment has been set.
user: What is their phone number?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '1'}","system: No, the ticket is non refundable.
user: Are there any other available flights? It is for one person.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'departure_date': '1st of this month', 'origin_city': 'LA'}","system: What location will you depart from, and is there an airline you prefer, such as Alaska Airlines, Delta Airlines, or some other? What day do you intend to depart?
user: I am departing on the 1st of this month from LA, and I'd like to get American Airlines.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '1'}","system: 
user: Would you look for 1 hotel room?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: FindEvents
Requested slots: time, venue_address
Slot values: {}","system: It's a pop show
user: And where do I find it? What time?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Carla Stelling , Md'}","system: Do you wish to have consultation with Carla Stelling, Md, a Gynecologist in Oakland?
user: Yup that would work.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {}","system: The flight takes off from McCarran International Airport but it is not a refundable ticket.
user: Thank you. I also need to find 1 hotel room there.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'date': 'the 12th', 'subcategory': 'Hip Hop'}","system: 
user: Is there any Hip Hop events on the 12th.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'March 7th', 'hotel_name': 'Quest Bella Vista'}","system: What hotel would you like to stay at?
user: Quest Bella Vista. I actually want to check in on March 7th now.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {}","system: Done, its confirmed
user: thanks a lot","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': '[CLS]'}","system: The show is a Hip Hop event.
user: I like how that sounds.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","system: 
user: I have an upcoming trip. Can you find me one way flights?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}","system: Return flight arrives at 0:16 am with 1 stop.
user: Thanks. Will you find attractions?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Darith Khay Inc'}","system: I can also suggest Darith Khay Inc. He is a General Practitioner in San Jose.
user: Okay. Can you tell me the weather conditions there on the March 13th?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '11 in the morning'}","system: For what time?
user: For 11 in the morning.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: is_redeye, number_stops
Slot values: {}","system: It leaves from Seattle-Tacoma International Airport.
user: Please find out if it's an overnight flight and whether it has one stop.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: Confirmed, you got reservation.
user: Great help. Thank you.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: BookAppointment
Requested slots: street_address
Slot values: {}","system: Need your confirmation to book that Citrus Salon at 4:30 pm on March 8th.
user: That is perfect and also get met the address details of that salon for my reference.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: price_per_night, street_address
Slot values: {}","system: I have 10 hotels that match what you are looking for. What about Ac Hotel By Marriott Beverly Hills? It is a 2 star.
user: How much is it per night and what is the address?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: 
Slot values: {}","system: Okay, can you confirm you'd like to rent a Standard car from Port Authority Station with a pickup on March 3rd at 4:30 pm and a drop off on March 8th?
user: Yup, that all sounds good to me.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '3', 'restaurant_name': 'Tai Yuan'}","system: Confirm March 5th for 2 at 11:45 am in Daly City at Jade Dragon Restaurant.
user: Change to three for Tai Yuan.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_city': 'CDMX', 'pickup_time': '09 : 30'}","system: WHen and where would you like to pick it up?
user: I want to pick it up from CDMX around 09:30.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}","system: Please give confirmation details: Table booking at Ancient Szechuan Restaurant in El Cerrito city on march 11th at 7 pm and the booking is for 2 people
user: Yes this is perfect.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'group_size': '4'}","system: Sure, please confirm the details. Booking 1 flexible ticket from Las Vegas to Fresno on March 11th at 7:10 am.
user: Actually, change that to four people.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': 'San Mateo'}","system: 
user: I need a San Mateo restaurant please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2'}","system: No problem. You'd like the reservation on March 10th at 6:45 pm.
user: Yes, that is correct.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'free_entry': 'True'}","system: 
user: Help me look for attractions I can visit. Preferable something with no entry fee.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
