id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
10,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}",Hello! How can I assist you today in finding music events in Philadelphia?,Hi there! I'm interested in attending some music events in Philadelphia. Can you help me find some?,"[0.8, 0.7, 0.65, 0.85, 0.5]","[0.75, 0.6, 0.7, 0.8, 0.4]","[0.14639899134635925, 0.2201031893491745, 0.19863437116146088, 0.1618308275938034, 0.27303260564804077]","[0.14411446452140808, 0.2297843098640442, 0.20322182774543762, 0.1555793434381485, 0.2673000395298004]","[0.6536010086536408, 0.47989681065082546, 0.45136562883853915, 0.6881691724061966, 0.22696739435195923]","[0.6058855354785919, 0.3702156901359558, 0.49677817225456233, 0.6444206565618515, 0.1326999604701996]"
11,"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}",Welcome! How can I assist you today in finding a pet-friendly hotel in your desired location?,"I'm looking for a hotel that welcomes pets, and I'd like it to be located in a central area.","[0.8, 0.7, 0.6, 0.75, 0.55]","[0.75, 0.65, 0.7, 0.8, 0.45]","[0.15569062530994415, 0.21972176432609558, 0.19927531480789185, 0.1632792353630066, 0.2620331048965454]","[0.15394960343837738, 0.21352727711200714, 0.20202398300170898, 0.16920655965805054, 0.26129257678985596]","[0.6443093746900559, 0.4802782356739044, 0.40072468519210813, 0.5867207646369934, 0.28796689510345463]","[0.5960503965616226, 0.4364727228879929, 0.49797601699829097, 0.6307934403419495, 0.18870742321014405]"
12,The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}",Hello! How can I assist you today with your search for accommodation?,I'm looking for a hotel with a rating of 4.5. Can you help me find one?,"[0.5, 0.6, 0.7, 0.8, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.3]","[0.1525881290435791, 0.21954600512981415, 0.20796962082386017, 0.15464156866073608, 0.2652546763420105]","[0.14886364340782166, 0.21949653327465057, 0.20534472167491913, 0.16712446510791779, 0.2591707110404968]","[0.3474118709564209, 0.38045399487018583, 0.4920303791761398, 0.645358431339264, 0.13474532365798952]","[0.5511363565921783, 0.3805034667253494, 0.39465527832508085, 0.6328755348920823, 0.04082928895950316]"
13,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}",Hello! How can I assist you with finding available rental cars for March 5th?,Hi there! I'm looking to rent a car for March 5th. Can you help me with that?,"[0.4, 0.6, 0.6, 0.8, 0.2]","[0.6, 0.4, 0.4, 0.2, 0.8]","[0.15242435038089752, 0.21704943478107452, 0.2077787071466446, 0.15912111103534698, 0.263626366853714]","[0.14793696999549866, 0.2226436585187912, 0.20283114910125732, 0.16735431551933289, 0.25923389196395874]","[0.2475756496191025, 0.38295056521892545, 0.3922212928533554, 0.6408788889646531, -0.06362636685371398]","[0.4520630300045013, 0.17735634148120882, 0.1971688508987427, 0.032645684480667125, 0.5407661080360413]"
14,The cab should be here in 3 minutes.,Thank you for your help.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}",Welcome to our RideSharing service! How can I assist you today?,I need a ride to the airport. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.7, 0.6, 0.5, 0.8, 0.3]","[0.155933678150177, 0.21978294849395752, 0.20629623532295227, 0.1554460972547531, 0.2625409960746765]","[0.15248355269432068, 0.21986225247383118, 0.20022797584533691, 0.1664053052663803, 0.2610209882259369]","[0.644066321849823, 0.48021705150604244, 0.3937037646770477, 0.5945539027452469, 0.1374590039253235]","[0.5475164473056793, 0.3801377475261688, 0.2997720241546631, 0.6335946947336197, 0.0389790117740631]"
15,No problem. Can I help you with anything else?,"No, not right now. Thanks again!","Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome to our flight booking service! How can I assist you today?,I'm looking for a flight to Paris for my upcoming vacation.,"[0.8, 0.7, 0.6, 0.7, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.5]","[0.15336626768112183, 0.2216956466436386, 0.20703580975532532, 0.15357190370559692, 0.26433035731315613]","[0.15283288061618805, 0.2244332879781723, 0.21125559508800507, 0.15657708048820496, 0.2549011707305908]","[0.6466337323188782, 0.47830435335636134, 0.39296419024467466, 0.546428096294403, 0.1356696426868439]","[0.5471671193838119, 0.3755667120218277, 0.3887444049119949, 0.6434229195117951, 0.24509882926940918]"
16,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}",Welcome! How may I assist you today with purchasing a bus ticket for your journey?,"I would like to purchase a bus ticket for tomorrow at 7:40 am, please.","[0.8, 0.9, 0.7, 0.85, 0.6]","[0.75, 0.8, 0.65, 0.8, 0.7]","[0.15244607627391815, 0.21771393716335297, 0.2007816582918167, 0.15473154187202454, 0.2743268311023712]","[0.16150139272212982, 0.21098017692565918, 0.21486125886440277, 0.16110174357891083, 0.251555472612381]","[0.6475539237260819, 0.6822860628366471, 0.49921834170818324, 0.6952684581279754, 0.32567316889762876]","[0.5884986072778702, 0.5890198230743409, 0.43513874113559725, 0.6388982564210892, 0.448444527387619]"
17,"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}",Welcome! How may I assist you in purchasing a bus ticket for 6:40 am?,I need to buy a bus ticket for 6:40 am.,"[0.8, 0.7, 0.6, 0.85, 0.4]","[0.7, 0.65, 0.5, 0.8, 0.45]","[0.1522388905286789, 0.20811745524406433, 0.19934196770191193, 0.16329319775104523, 0.2770084738731384]","[0.15763099491596222, 0.2106473594903946, 0.20575036108493805, 0.16248027980327606, 0.2634910047054291]","[0.6477611094713212, 0.4918825447559356, 0.40065803229808805, 0.6867068022489548, 0.1229915261268616]","[0.5423690050840377, 0.43935264050960543, 0.29424963891506195, 0.637519720196724, 0.18650899529457093]"
18,I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Hello! How can I assist you today in purchasing a bus ticket?,I'm looking to buy a bus ticket for a trip next week. Can you help me with that?,"[0.8, 0.7, 0.6, 0.65, 0.5]","[0.75, 0.6, 0.7, 0.8, 0.45]","[0.14753560721874237, 0.21272864937782288, 0.2015395164489746, 0.1648218184709549, 0.27337446808815]","[0.14861297607421875, 0.2179180085659027, 0.20590567588806152, 0.16766813397407532, 0.2598952651023865]","[0.6524643927812577, 0.4872713506221771, 0.39846048355102537, 0.4851781815290451, 0.22662553191184998]","[0.6013870239257812, 0.38208199143409727, 0.49409432411193843, 0.6323318660259247, 0.19010473489761354]"
19,Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}",Welcome! How can I assist you today in finding the perfect house?,I'm looking for a cozy house to rent in a peaceful neighborhood.,"[0.6, 0.7, 0.5, 0.8, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.3]","[0.1464320719242096, 0.2240334451198578, 0.20093758404254913, 0.1541953831911087, 0.27440154552459717]","[0.1561070829629898, 0.222467303276062, 0.21623747050762177, 0.16299527883529663, 0.2421928197145462]","[0.4535679280757904, 0.47596655488014217, 0.29906241595745087, 0.6458046168088913, 0.12559845447540285]","[0.5438929170370101, 0.37753269672393797, 0.18376252949237826, 0.6370047211647034, 0.057807180285453785]"
20,When will you be back?,I'll be back on the 11th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}",Hello! How can I assist you today with your flight search?,I'm looking for roundtrip flights with a return date on the 11th of this month.,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.85, 0.65, 0.7, 0.8, 0.4]","[0.15076307952404022, 0.22481299936771393, 0.20567364990711212, 0.15338371694087982, 0.2653665542602539]","[0.1646750122308731, 0.21519272029399872, 0.21577546000480652, 0.15103277564048767, 0.253324031829834]","[0.6492369204759598, 0.475187000632286, 0.39432635009288786, 0.5966162830591202, 0.2346334457397461]","[0.6853249877691269, 0.4348072797060013, 0.48422453999519344, 0.6489672243595124, 0.14667596817016604]"
21,Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome! How can I assist you today with bus services?,"Hello, I'm looking to find out the bus schedule for Route 10, please.","[0.75, 0.6, 0.5, 0.8, 0.4]","[0.7, 0.65, 0.55, 0.75, 0.35]","[0.1516209840774536, 0.22242596745491028, 0.19846223294734955, 0.1643628627061844, 0.26312804222106934]","[0.15813711285591125, 0.224534273147583, 0.21408718824386597, 0.1527460515499115, 0.2504953145980835]","[0.5983790159225464, 0.3775740325450897, 0.30153776705265045, 0.6356371372938157, 0.1368719577789307]","[0.5418628871440887, 0.425465726852417, 0.3359128117561341, 0.5972539484500885, 0.09950468540191648]"
22,Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",Hello! How can I help you today?,I was wondering if you could tell me the weather forecast for tomorrow?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.6, 0.3, 0.7, 0.2]","[0.15227141976356506, 0.2157147377729416, 0.20682872831821442, 0.15790362656116486, 0.2672814726829529]","[0.14630158245563507, 0.2096560001373291, 0.20653456449508667, 0.15621386468410492, 0.28129398822784424]","[-0.15227141976356506, -0.2157147377729416, -0.20682872831821442, -0.15790362656116486, -0.2672814726829529]","[0.25369841754436495, 0.3903439998626709, 0.09346543550491332, 0.543786135315895, -0.08129398822784423]"
23,$140 in full,anything rlse there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",Welcome to our rental car service. How can I assist you today?,I'm interested in renting a car for the weekend. Can you tell me what options are available?,"[0.8, 0.6, 0.6, 0.8, 0.4]","[0.6, 0.4, 0.6, 0.8, 0.6]","[0.15234583616256714, 0.2184630185365677, 0.20443035662174225, 0.15318162739276886, 0.27157914638519287]","[0.15413571894168854, 0.21548506617546082, 0.20663140714168549, 0.16920015215873718, 0.25454771518707275]","[0.6476541638374329, 0.3815369814634323, 0.39556964337825773, 0.6468183726072312, 0.12842085361480715]","[0.44586428105831144, 0.1845149338245392, 0.3933685928583145, 0.6307998478412629, 0.3454522848129272]"
24,The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}",Hello! How can I assist you with finding attractions in your chosen location?,"Hi there! I'm looking for some interesting places to visit, but I'm open to any category and location.","[0.7, 0.6, 0.8, 0.65, 0.5]","[0.75, 0.4, 0.85, 0.7, 0.3]","[0.1543775051832199, 0.2240035980939865, 0.19934487342834473, 0.15895847976207733, 0.26331549882888794]","[0.1511847972869873, 0.22732754051685333, 0.20484617352485657, 0.15789373219013214, 0.2587476968765259]","[0.54562249481678, 0.37599640190601347, 0.6006551265716553, 0.4910415202379227, 0.23668450117111206]","[0.5988152027130127, 0.1726724594831467, 0.6451538264751434, 0.5421062678098678, 0.04125230312347411]"
25,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}",Welcome! How can I assist you with buying event tickets today?,Hi there! I'm interested in purchasing a ticket for one person.,"[0.5, 0.8, 0.6, 0.7, 0.3]","[0.7, 0.6, 0.8, 0.6, 0.4]","[0.15186062455177307, 0.2234066277742386, 0.19584190845489502, 0.15488651394844055, 0.27400434017181396]","[0.14796018600463867, 0.2196347713470459, 0.20576635003089905, 0.1613600254058838, 0.2652786672115326]","[0.34813937544822693, 0.5765933722257615, 0.40415809154510496, 0.5451134860515594, 0.025995659828186024]","[0.5520398139953613, 0.3803652286529541, 0.594233649969101, 0.4386399745941162, 0.13472133278846743]"
26,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}",Welcome! How may I assist you with purchasing bus tickets today?,I would like to buy two economy tickets for the next bus departure.,"[0.8, 0.75, 0.7, 0.85, 0.65]","[0.6, 0.7, 0.5, 0.8, 0.4]","[0.14948810636997223, 0.21876436471939087, 0.19265849888324738, 0.15876153111457825, 0.2803274691104889]","[0.1481545865535736, 0.214199498295784, 0.2075587660074234, 0.16206049919128418, 0.26802659034729004]","[0.6505118936300278, 0.5312356352806091, 0.5073415011167526, 0.6912384688854217, 0.36967253088951113]","[0.45184541344642637, 0.48580050170421596, 0.2924412339925766, 0.6379395008087159, 0.13197340965270998]"
27,The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}","Welcome! How can I assist you today in finding hotels in Paris, France?",I'm looking to book 3 rooms in Paris for my upcoming trip.,"[1.0, 0.6, 0.7, 0.8, 0.4]","[0.8, 0.7, 0.6, 0.7, 0.5]","[0.15085548162460327, 0.21647213399410248, 0.2054579108953476, 0.16049757599830627, 0.266716867685318]","[0.15283913910388947, 0.21950772404670715, 0.218218594789505, 0.15630285441875458, 0.2531316578388214]","[0.8491445183753967, 0.3835278660058975, 0.49454208910465236, 0.6395024240016938, 0.13328313231468203]","[0.6471608608961106, 0.4804922759532928, 0.381781405210495, 0.5436971455812454, 0.2468683421611786]"
28,Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}",Welcome to our movie recommendation service! How can I assist you today?,I'm looking for a funny movie to watch at AMC Metreon. Can you recommend any?,"[0.5, 0.8, 0.6, 0.7, 0.3]","[0.6, 0.4, 0.7, 0.8, 0.2]","[0.14901937544345856, 0.22066374123096466, 0.20525366067886353, 0.15695777535438538, 0.2681054472923279]","[0.15570981800556183, 0.2294141799211502, 0.20335108041763306, 0.1594458520412445, 0.2520790100097656]","[0.35098062455654144, 0.5793362587690354, 0.39474633932113645, 0.5430422246456146, 0.03189455270767211]","[0.44429018199443815, 0.17058582007884981, 0.4966489195823669, 0.6405541479587555, -0.052079010009765614]"
29,please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}",Welcome to our ride-sharing service! How can I assist you today?,I'm looking for a ride to the airport. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.7, 0.6, 0.8, 0.7, 0.5]","[0.15558475255966187, 0.22197331488132477, 0.20123456418514252, 0.15794581174850464, 0.2632615864276886]","[0.15568064153194427, 0.22590391337871552, 0.20401552319526672, 0.16168802976608276, 0.25271186232566833]","[0.6444152474403382, 0.4780266851186752, 0.39876543581485746, 0.5920541882514954, 0.13673841357231142]","[0.5443193584680557, 0.37409608662128446, 0.5959844768047333, 0.5383119702339172, 0.24728813767433167]"
30,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Welcome to our flight booking service. How can I assist you today?,I'm looking to book a one-way flight to Paris for next week. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.45]","[0.85, 0.6, 0.7, 0.8, 0.55]","[0.15647566318511963, 0.21878144145011902, 0.20600876212120056, 0.151746466755867, 0.2669876515865326]","[0.14784319698810577, 0.22327464818954468, 0.20071177184581757, 0.1702563762664795, 0.2579140067100525]","[0.6435243368148804, 0.48121855854988094, 0.3939912378787994, 0.598253533244133, 0.18301234841346742]","[0.7021568030118942, 0.3767253518104553, 0.4992882281541824, 0.6297436237335206, 0.29208599328994755]"
31,"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}",Welcome! How may I assist you in finding the perfect accommodation?,Hello! I'm looking for a cozy hotel room for my upcoming vacation.,"[0.8, 0.7, 0.6, 0.75, 0.55]","[0.7, 0.6, 0.75, 0.8, 0.5]","[0.1407659351825714, 0.223094180226326, 0.1932380050420761, 0.16091695427894592, 0.28198492527008057]","[0.1551954299211502, 0.21786507964134216, 0.2063988447189331, 0.15794458985328674, 0.2625959813594818]","[0.6592340648174286, 0.47690581977367397, 0.40676199495792387, 0.5890830457210541, 0.2680150747299195]","[0.5448045700788497, 0.3821349203586578, 0.5436011552810669, 0.6420554101467133, 0.2374040186405182]"
32,"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}",Hello! How can I assist you today in finding an ophthalmologist?,I need help finding an ophthalmologist as I'm having trouble with my vision.,"[0.8, 0.6, 0.6, 0.7, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.5]","[0.14809690415859222, 0.21753530204296112, 0.2071663737297058, 0.15833613276481628, 0.2688652276992798]","[0.16449253261089325, 0.21492473781108856, 0.21410970389842987, 0.14866574108600616, 0.2578072249889374]","[0.6519030958414078, 0.38246469795703886, 0.39283362627029417, 0.5416638672351837, 0.13113477230072024]","[0.5355074673891067, 0.3850752621889114, 0.18589029610157015, 0.6513342589139939, 0.24219277501106262]"
33,Do you wish to play the movie?,Nope. I am not interested in doing it.,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome to our media service! How can I assist you today?,I'm excited to explore new shows and movies. Can you recommend something interesting?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.4, 0.6, 0.7, 0.2]","[0.15535607933998108, 0.22339077293872833, 0.2022855132818222, 0.15644042193889618, 0.262527197599411]","[0.14778733253479004, 0.22408348321914673, 0.19709819555282593, 0.16679571568965912, 0.264235258102417]","[-0.15535607933998108, -0.22339077293872833, -0.2022855132818222, -0.15644042193889618, -0.262527197599411]","[0.65221266746521, 0.1759165167808533, 0.40290180444717405, 0.5332042843103408, -0.06423525810241698]"
34,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}",Welcome to our car rental service! How can I assist you today?,I'm looking to rent a car for a weekend getaway. Can you provide me with the available options and total price?,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.7, 0.5, 0.8, 0.6, 0.4]","[0.1501622349023819, 0.22088505327701569, 0.20659475028514862, 0.1555948555469513, 0.2667631506919861]","[0.1573076993227005, 0.22122257947921753, 0.1995633989572525, 0.17649607360363007, 0.2454102784395218]","[0.6498377650976181, 0.3791149467229843, 0.49340524971485133, 0.5944051444530487, 0.23323684930801392]","[0.5426923006772995, 0.27877742052078247, 0.6004366010427475, 0.4235039263963699, 0.15458972156047823]"
