id,system,user,intent,new_system,new_user,system_bf,user_bf
27,The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}","Welcome! How can I assist you today in finding hotels in Paris, France?",I'm looking to book 3 rooms in Paris for my upcoming trip.,"[1.0, 0.6, 0.7, 0.8, 0.4]","[0.8, 0.7, 0.6, 0.7, 0.5]"
28,Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}",Welcome to our movie recommendation service! How can I assist you today?,I'm looking for a funny movie to watch at AMC Metreon. Can you recommend any?,"[0.5, 0.8, 0.6, 0.7, 0.3]","[0.6, 0.4, 0.7, 0.8, 0.2]"
29,please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}",Welcome to our ride-sharing service! How can I assist you today?,I'm looking for a ride to the airport. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.7, 0.6, 0.8, 0.7, 0.5]"
30,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Welcome to our flight booking service. How can I assist you today?,I'm looking to book a one-way flight to Paris for next week. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.45]","[0.85, 0.6, 0.7, 0.8, 0.55]"
31,"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}",Welcome! How may I assist you in finding the perfect accommodation?,Hello! I'm looking for a cozy hotel room for my upcoming vacation.,"[0.8, 0.7, 0.6, 0.75, 0.55]","[0.7, 0.6, 0.75, 0.8, 0.5]"
32,"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}",Hello! How can I assist you today in finding an ophthalmologist?,I need help finding an ophthalmologist as I'm having trouble with my vision.,"[0.8, 0.6, 0.6, 0.7, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.5]"
33,Do you wish to play the movie?,Nope. I am not interested in doing it.,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome to our media service! How can I assist you today?,I'm excited to explore new shows and movies. Can you recommend something interesting?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.4, 0.6, 0.7, 0.2]"
34,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}",Welcome to our car rental service! How can I assist you today?,I'm looking to rent a car for a weekend getaway. Can you provide me with the available options and total price?,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.7, 0.5, 0.8, 0.6, 0.4]"
35,Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}",Welcome! What movie would you like to watch today?,"I would like to watch a classic movie with subtitles, please.","[0.7, 0.8, 0.6, 0.85, 0.4]","[0.8, 0.6, 0.7, 0.75, 0.5]"
36,What time do you want to eat?,Book a table for 2 at eleven in the morning.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'time': 'eleven in the morning'}",Hello! Welcome to our restaurant. How can I assist you today?,Hi there! I'd like to make a reservation for two at eleven in the morning.,"[0.5, 0.6, 0.7, 0.8, 0.4]","[0.7, 0.8, 0.6, 0.8, 0.3]"
37,Would you like my help with anything else?,Could you also check for a round-trip flight going there?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '4', 'destination_city': '[CLS]', 'origin_city': '[CLS]'}",Welcome! How may I assist you with your flight booking today?,Hello! I'm looking to book roundtrip flights for 4 passengers from [CLS] to [CLS].,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.85, 0.7, 0.65, 0.8, 0.45]"
38,,I need tickets for a short flight i need to get.,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}",Welcome! How can I assist you with your flight reservation today?,Hi there! I'm looking to book a roundtrip flight for my upcoming vacation.,"[0.7, 0.6, 0.5, 0.65, 0.4]","[0.8, 0.7, 0.6, 0.75, 0.45]"
39,"Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.","Service name: Homes_1
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm looking to buy a new house. Can you help me with finding the perfect home?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.6, 0.4, 0.7, 0.3]"
40,Is there anything else I can help you with?,No. That will be all. Thank you!,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome! How can I assist you today?,Hi there! I'm looking for recommendations on movies to watch this weekend.,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]"
41,Do you prefer The Innocent?,Innocent is good!,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'title': 'The Innocent'}",Hello! How can I assist you today?,I'm looking for information about the movie 'The Innocent'.,"[0.8, 0.6, 0.5, 0.7, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]"
42,,Would you help me find a bus trip? I prefer Economy extra tickets.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy extra'}",Welcome! How can I assist you today in finding a bus with an Economy extra fare type?,Hello! I'm looking for a bus with an Economy extra fare type. Can you help me with that?,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.7, 0.65, 0.75, 0.8, 0.55]"
43,Your ticket has been successfully confirmed.,"Awesome, thanks for your help.","Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}",Welcome! How may I assist you with your flight reservation today?,Hi there! I'm looking to book a roundtrip flight for my upcoming vacation.,"[0.6, 0.8, 0.5, 0.7, 0.4]","[0.7, 0.6, 0.8, 0.6, 0.3]"
44,Savings or checking?,Checking account.,"Service name: Banks_1
Active intent: CheckBalance
Requested slots: 
Slot values: {'account_type': 'checking'}",Welcome to our bank. How can I assist you today?,"I'd like to check the balance of my checking account, please.","[0.8, 0.6, 0.7, 0.85, 0.4]","[0.65, 0.75, 0.5, 0.7, 0.6]"
45,There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year the song is from?,"Service name: Music_1
Active intent: LookupSong
Requested slots: year
Slot values: {}",Welcome! How can I assist you today?,I'm looking for a song released in a specific year.,"[0.8, 0.6, 0.5, 0.7, 0.4]","[0.6, 0.4, 0.7, 0.8, 0.5]"
46,"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {'playback_device': 'bedroom speaker'}",Hello! How can I assist you with your music needs today?,"I'd like to play some upbeat music on my bedroom speaker, please.","[0.7, 0.8, 0.6, 0.7, 0.4]","[0.6, 0.7, 0.8, 0.7, 0.3]"
47,,I'm planning on going on a short trip with friends. Can you find me a bus?,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}",Welcome to the bus service! How can I assist you today?,I'm looking for the bus schedule to downtown.,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.6, 0.4, 0.5, 0.6, 0.4]"
48,Play it now?,"No, not yet.","Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome to our media service! How can I assist you today?,I'm looking for recommendations on the latest movies and TV shows. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.45]","[0.75, 0.6, 0.8, 0.85, 0.4]"
49,Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: total_price
Slot values: {}",Welcome to our rental car service! How can I assist you today?,"I'd like to reserve a car for the weekend, please. Can you help me with that?","[0.8, 0.6, 0.5, 0.7, 0.4]","[0.7, 0.6, 0.8, 0.7, 0.5]"
50,your room is booked,please search a song for me,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {}",Welcome! How can I assist you today with your music inquiries?,I'm looking for a song that will uplift my mood. Can you recommend something upbeat and energetic?,"[0.8, 0.6, 0.7, 0.75, 0.45]","[0.85, 0.4, 0.65, 0.8, 0.55]"
51,You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?","Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_name': 'restaurant reservation for 4 at Betty Spaghetti', 'event_time': '11 : 30 am'}",Hello! How can I assist you today with scheduling your restaurant reservation at Betty Spaghetti for 4 people at 11:30 am?,Hi there! I'd like to make a reservation for 4 at Betty Spaghetti for 11:30 am.,"[0.8, 0.9, 0.7, 0.75, 0.6]","[0.75, 0.8, 0.65, 0.8, 0.55]"
52,How long would you like to have the room for?,I'd like to have the room for 3 days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '3'}",Welcome to our hotel reservation service. How many days would you like to stay?,"I would like to stay for 3 days, please. I'm excited to explore the city during my stay!","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6, 0.4, 0.8, 0.7, 0.3]"
53,,Can you find some attractions for me? I prefer a garden.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Park'}",Welcome! How can I assist you in finding attractions in the park?,Hi there! I'm interested in exploring some outdoor activities at the park.,"[0.8, 0.7, 0.6, 0.85, 0.4]","[0.75, 0.6, 0.7, 0.8, 0.45]"
54,Where would you leave from and when are you going to be back?,I will be leaving from Los Angeles and be back on the 4th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin_city': 'Los Angeles', 'return_date': '4th of this month'}",Welcome! How can I assist you today with your flight booking from Los Angeles on the 4th of this month?,"Hello, I'm looking to book a roundtrip flight from Los Angeles on the 4th of this month.","[0.8, 0.85, 0.75, 0.7, 0.6]","[0.75, 0.7, 0.7, 0.8, 0.65]"
55,Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_date': '[CLS]'}",Hello! How can I assist you with adding an event to your calendar?,I need to schedule a meeting for next Tuesday.,"[0.7, 0.8, 0.6, 0.75, 0.5]","[0.6, 0.75, 0.65, 0.7, 0.4]"
56,4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Best Western Plus Las Vegas West'}",Hello! How can I assist you today in finding accommodations at Best Western Plus Las Vegas West?,I'm looking for a comfortable stay at Best Western Plus Las Vegas West. Can you help me with that?,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.6, 0.4, 0.6, 0.7, 0.4]"
57,,Can I make a restaurant reservation? I want it on March 12th.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'date': 'March 12th'}",Welcome to our restaurant reservation service. How can I assist you today?,I would like to make a reservation for a table on March 12th.,"[0.8, 0.6, 0.7, 0.8, 0.4]","[0.7, 0.8, 0.6, 0.7, 0.5]"
58,Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: outbound_arrival_time
Slot values: {'passengers': '1', 'seating_class': 'Economy'}",Welcome! How may I assist you today with your flight reservations?,I would like to book a roundtrip flight for 1 passenger in Economy class.,"[0.8, 0.7, 0.6, 0.75, 0.45]","[0.7, 0.6, 0.55, 0.7, 0.4]"
59,I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': 'March 5th'}",Hello! How can I assist you today?,I'm looking for events happening on March 5th.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.6, 0.7, 0.9, 0.4]"
60,Sorry I was unable to make the appointment. Can I assist you with another task?,Try the reservation again. This time. Try it for 4:45 in the evening.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 : 45 in the evening'}",Hello! How can I assist you today?,"I'd like to book an appointment for 4 : 45 in the evening, please.","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.6, 0.4, 0.4, 0.6, 0.3]"
61,What time works best for you?,See if they have any availability for 17:30.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '17 : 30'}",Good afternoon! How may I assist you today?,Hello! I would like to make a reservation at a restaurant for 5:30 pm.,"[0.8, 0.7, 0.65, 0.75, 0.55]","[0.7, 0.8, 0.6, 0.75, 0.6]"
62,"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Welcome! How may I assist you today with your flight search?,Hello! I'm looking for a one-way flight to Paris for next week.,"[0.6, 0.7, 0.5, 0.8, 0.4]","[0.7, 0.4, 0.6, 0.7, 0.5]"
63,The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Hello! How can I assist you today in purchasing event tickets?,I'm excited to explore some new events and buy tickets. Can you help me with that?,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.85, 0.7, 0.8, 0.85, 0.45]"
64,"Yes, no cost.","Nice, I want to purchase a ticket to the bus you mentioned earlier.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}",Welcome! How can I assist you today in finding attractions?,I'm looking for some interesting places to visit. Can you help me find some attractions?,"[0.8, 0.6, 0.7, 0.75, 0.4]","[0.75, 0.65, 0.85, 0.8, 0.55]"
65,Shall I purchase the tickets now?,No. Not at this time.,"Service name: Buses_2
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I need information about the bus schedules in the city.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.3, 0.6, 0.7, 0.4]"
66,It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]', 'cuisine': 'Italian'}",Welcome! How can I assist you in finding a restaurant in the city for Italian cuisine?,I'm looking for a cozy place to enjoy some authentic Italian dishes in the city.,"[0.6, 0.8, 0.4, 0.7, 0.2]","[0.7, 0.5, 0.6, 0.8, 0.3]"
67,The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I was wondering if you could tell me the weather forecast for tomorrow.,"[0.8, 0.7, 0.6, 0.5, 0.4]","[0.7, 0.4, 0.6, 0.7, 0.3]"
68,Do you need more help?,I need to find a salon too.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}",Welcome! How can I assist you today?,I'm looking for a service provider who can help me with organizing my schedule.,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.75, 0.25, 0.75, 0.25]"
69,What name should I use for the event and what time? Is the event happening at 458 B Street?,Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_location': '458 B Street', 'event_name': 'Restaurant reservation for 4 at Mariscos El Patron', 'event_time': '19 : 30'}",Hello! How can I assist you with adding this event to your calendar?,I need to add a restaurant reservation for 4 at Mariscos El Patron at 7:30 PM at 458 B Street.,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.7, 0.85, 0.65, 0.8, 0.45]"
70,The car is on its way.,Will this dent my wallet? How long will it take?,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: approximate_ride_duration, ride_fare
Slot values: {}",Hello! How can I assist you today?,I need to book a ride. Can you tell me the approximate ride duration and ride fare?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6, 0.4, 0.8, 0.7, 0.3]"
71,"There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.","That apartment sounds good, I would like to schedule a visit.","Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'property_name': 'Wilford Lane Apartments'}",Hello! Welcome to Wilford Lane Apartments. How can I assist you today?,I'm interested in scheduling a visit to Wilford Lane Apartments.,"[0.8, 0.7, 0.6, 0.65, 0.5]","[0.75, 0.6, 0.7, 0.8, 0.4]"
