system,user,new_system,new_user,lev_sys,jac_sys,cos_sys,dam_sys,lev_user,jac_user,cos_user,dam_user
In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,Hello! How can I assist you today in finding music events in Philadelphia?,Hi there! I'm interested in attending some music events in Philadelphia. Can you help me find some?,0.2705882352941177,0.03448275862068961,0.06726727939963129,0.2823529411764706,0.303030303030303,0.08695652173913038,0.17149858514250882,0.303030303030303
"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.",Welcome! How can I assist you today in finding a pet-friendly hotel in your desired location?,"I'm looking for a hotel that welcomes pets, and I'd like it to be located in a central area.",0.21505376344086025,0.09090909090909094,0.17677669529663687,0.21505376344086025,0.26086956521739135,0.1785714285714286,0.3065696697424829,0.2717391304347826
The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.",Hello! How can I assist you today with your search for accommodation?,I'm looking for a hotel with a rating of 4.5. Can you help me find one?,0.2222222222222222,0.032258064516129004,0.06454972243679025,0.2222222222222222,0.2676056338028169,0.07407407407407407,0.13867504905630734,0.2676056338028169
"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,Hello! How can I assist you with finding available rental cars for March 5th?,Hi there! I'm looking to rent a car for March 5th. Can you help me with that?,0.2727272727272727,0.125,0.22237479499833035,0.2727272727272727,0.2597402597402597,0.16666666666666663,0.29250896965085227,0.2597402597402597
The cab should be here in 3 minutes.,Thank you for your help.,Welcome to our RideSharing service! How can I assist you today?,I need a ride to the airport. Can you help me with that?,0.25396825396825395,0.0,0.0,0.25396825396825395,0.25,0.05882352941176472,0.12403473458920844,0.25
No problem. Can I help you with anything else?,"No, not right now. Thanks again!",Welcome to our flight booking service! How can I assist you today?,I'm looking for a flight to Paris for my upcoming vacation.,0.2272727272727273,0.10526315789473684,0.19245008972987532,0.2272727272727273,0.27118644067796616,0.0,0.0,0.27118644067796616
I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,Welcome! How may I assist you today with purchasing a bus ticket for your journey?,"I would like to purchase a bus ticket for tomorrow at 7:40 am, please.",0.20731707317073167,0.0714285714285714,0.1333333333333333,0.20731707317073167,0.18571428571428572,0.0,0.0,0.18571428571428572
"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.",Welcome! How may I assist you in purchasing a bus ticket for 6:40 am?,I need to buy a bus ticket for 6:40 am.,0.25,0.23076923076923084,0.3779644730092272,0.25,0.20512820512820518,0.0,0.0,0.20512820512820518
I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,Hello! How can I assist you today in purchasing a bus ticket?,I'm looking to buy a bus ticket for a trip next week. Can you help me with that?,0.24590163934426235,0.0,0.0,0.24590163934426235,0.23863636363636365,0.09677419354838712,0.17677669529663687,0.23863636363636365
Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there",Welcome! How can I assist you today in finding the perfect house?,I'm looking for a cozy house to rent in a peaceful neighborhood.,0.1384615384615384,0.0,0.0,0.1384615384615384,0.234375,0.19999999999999996,0.33333333333333326,0.234375
When will you be back?,I'll be back on the 11th of this month.,Hello! How can I assist you today with your flight search?,I'm looking for roundtrip flights with a return date on the 11th of this month.,0.22413793103448276,0.06666666666666665,0.13483997249264845,0.22413793103448276,0.44303797468354433,0.33333333333333326,0.5163977794943223,0.44303797468354433
Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?",Welcome! How can I assist you today with bus services?,"Hello, I'm looking to find out the bus schedule for Route 10, please.",0.2777777777777778,0.05263157894736836,0.09999999999999998,0.2777777777777778,0.24731182795698925,0.06666666666666665,0.12725695259515557,0.24731182795698925
Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.",Hello! How can I help you today?,I was wondering if you could tell me the weather forecast for tomorrow?,0.1643835616438356,0.0,0.0,0.1643835616438356,0.2535211267605634,0.04761904761904767,0.09245003270420482,0.2535211267605634
$140 in full,anything rlse there?,Welcome to our rental car service. How can I assist you today?,I'm interested in renting a car for the weekend. Can you tell me what options are available?,0.08064516129032262,0.0,0.0,0.08064516129032262,0.15217391304347827,0.0,0.0,0.15217391304347827
The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?",Hello! How can I assist you with finding attractions in your chosen location?,"Hi there! I'm looking for some interesting places to visit, but I'm open to any category and location.",0.2232142857142857,0.0,0.0,0.2232142857142857,0.22549019607843135,0.06060606060606055,0.11433239009500595,0.22549019607843135
Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,Welcome! How can I assist you with buying event tickets today?,Hi there! I'm interested in purchasing a ticket for one person.,0.25,0.07407407407407407,0.14213381090374033,0.25,0.2063492063492064,0.0714285714285714,0.15075567228888187,0.2063492063492064
You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,Welcome! How may I assist you with purchasing bus tickets today?,I would like to buy two economy tickets for the next bus departure.,0.1527777777777778,0.0,0.0,0.1527777777777778,0.31343283582089554,0.2941176470588236,0.4622501635210242,0.31343283582089554
The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Welcome! How can I assist you today in finding hotels in Paris, France?",I'm looking to book 3 rooms in Paris for my upcoming trip.,0.189873417721519,0.0,0.0,0.189873417721519,0.28915662650602414,0.0,0.0,0.28915662650602414
Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.",Welcome to our movie recommendation service! How can I assist you today?,I'm looking for a funny movie to watch at AMC Metreon. Can you recommend any?,0.18055555555555558,0.0,0.0,0.18055555555555558,0.19047619047619047,0.26923076923076916,0.42600643361512924,0.19047619047619047
please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,Welcome to our ride-sharing service! How can I assist you today?,I'm looking for a ride to the airport. Can you help me with that?,0.24390243902439024,0.040000000000000036,0.07784989441615231,0.24390243902439024,0.09230769230769231,0.0,0.0,0.09230769230769231
,Please help me find one-way flights.,Welcome to our flight booking service. How can I assist you today?,I'm looking to book a one-way flight to Paris for next week. Can you help me with that?,0.0,0.0,0.0,0.0,0.2183908045977011,0.1428571428571428,0.28867513459481287,0.2183908045977011
"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need",Welcome! How may I assist you in finding the perfect accommodation?,Hello! I'm looking for a cozy hotel room for my upcoming vacation.,0.23333333333333328,0.09090909090909094,0.18090680674665816,0.23333333333333328,0.13636363636363635,0.0,0.0,0.13636363636363635
"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,Hello! How can I assist you today in finding an ophthalmologist?,I need help finding an ophthalmologist as I'm having trouble with my vision.,0.29333333333333333,0.04761904761904767,0.09090909090909094,0.29333333333333333,0.3421052631578947,0.2142857142857143,0.4160251471689218,0.3421052631578947
Do you wish to play the movie?,Nope. I am not interested in doing it.,Welcome to our media service! How can I assist you today?,I'm excited to explore new shows and movies. Can you recommend something interesting?,0.26315789473684215,0.125,0.22792115291927595,0.26315789473684215,0.24705882352941178,0.0,0.0,0.24705882352941178
I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,Welcome to our car rental service! How can I assist you today?,I'm looking to rent a car for a weekend getaway. Can you provide me with the available options and total price?,0.2441860465116279,0.07407407407407407,0.14002800840280094,0.2441860465116279,0.21621621621621623,0.16666666666666663,0.329914439536929,0.21621621621621623
Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.",Welcome! What movie would you like to watch today?,"I would like to watch a classic movie with subtitles, please.",0.24242424242424243,0.0,0.0,0.24242424242424243,0.2786885245901639,0.0714285714285714,0.15075567228888187,0.2786885245901639
What time do you want to eat?,Book a table for 2 at eleven in the morning.,Hello! Welcome to our restaurant. How can I assist you today?,Hi there! I'd like to make a reservation for two at eleven in the morning.,0.2786885245901639,0.125,0.22792115291927595,0.2786885245901639,0.5,0.38888888888888884,0.5715476066494082,0.5
Would you like my help with anything else?,Could you also check for a round-trip flight going there?,Welcome! How may I assist you with your flight booking today?,Hello! I'm looking to book roundtrip flights for 4 passengers from [CLS] to [CLS].,0.29508196721311475,0.11764705882352944,0.21320071635561044,0.29508196721311475,0.3292682926829268,0.04347826086956519,0.08451542547285162,0.3292682926829268
,I need tickets for a short flight i need to get.,Welcome! How can I assist you with your flight reservation today?,Hi there! I'm looking to book a roundtrip flight for my upcoming vacation.,0.0,0.0,0.0,0.0,0.33783783783783783,0.19999999999999996,0.3344968040028363,0.33783783783783783
"Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.",Hello! How can I assist you today?,I'm looking to buy a new house. Can you help me with finding the perfect home?,0.21621621621621623,0.10526315789473684,0.20203050891044216,0.21621621621621623,0.16666666666666663,0.0,0.0,0.16666666666666663
Is there anything else I can help you with?,No. That will be all. Thank you!,Welcome! How can I assist you today?,Hi there! I'm looking for recommendations on movies to watch this weekend.,0.2558139534883721,0.23076923076923084,0.3779644730092272,0.2558139534883721,0.14864864864864868,0.0,0.0,0.14864864864864868
Do you prefer The Innocent?,Innocent is good!,Hello! How can I assist you today?,I'm looking for information about the movie 'The Innocent'.,0.17647058823529416,0.09090909090909094,0.16903085094570325,0.17647058823529416,0.1694915254237288,0.0,0.0,0.1694915254237288
,Would you help me find a bus trip? I prefer Economy extra tickets.,Welcome! How can I assist you today in finding a bus with an Economy extra fare type?,Hello! I'm looking for a bus with an Economy extra fare type. Can you help me with that?,0.0,0.0,0.0,0.0,0.2727272727272727,0.29166666666666674,0.4576043153224294,0.2727272727272727
Your ticket has been successfully confirmed.,"Awesome, thanks for your help.",Welcome! How may I assist you with your flight reservation today?,Hi there! I'm looking to book a roundtrip flight for my upcoming vacation.,0.16923076923076918,0.0,0.0,0.16923076923076918,0.20270270270270274,0.05882352941176472,0.12403473458920844,0.20270270270270274
Savings or checking?,Checking account.,Welcome to our bank. How can I assist you today?,"I'd like to check the balance of my checking account, please.",0.14583333333333337,0.0,0.0,0.14583333333333337,0.2622950819672131,0.0,0.0,0.2622950819672131
There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year the song is from?,Welcome! How can I assist you today?,I'm looking for a song released in a specific year.,0.20253164556962022,0.0,0.0,0.20253164556962022,0.196078431372549,0.06666666666666665,0.1290994448735805,0.196078431372549
"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,Hello! How can I assist you with your music needs today?,"I'd like to play some upbeat music on my bedroom speaker, please.",0.2666666666666667,0.0,0.0,0.2666666666666667,0.4307692307692308,0.2222222222222222,0.3651483716701107,0.4307692307692308
,I'm planning on going on a short trip with friends. Can you find me a bus?,Welcome to the bus service! How can I assist you today?,I'm looking for the bus schedule to downtown.,0.0,0.0,0.0,0.0,0.29729729729729726,0.04347826086956519,0.08838834764831849,0.29729729729729726
Play it now?,"No, not yet.",Welcome to our media service! How can I assist you today?,I'm looking for recommendations on the latest movies and TV shows. Can you help me with that?,0.14035087719298245,0.0,0.0,0.14035087719298245,0.09677419354838712,0.0,0.0,0.09677419354838712
Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,Welcome to our rental car service! How can I assist you today?,"I'd like to reserve a car for the weekend, please. Can you help me with that?",0.23484848484848486,0.02857142857142858,0.05892556509887892,0.23484848484848486,0.22077922077922074,0.050000000000000044,0.11180339887498947,0.22077922077922074
your room is booked,please search a song for me,Welcome! How can I assist you today with your music inquiries?,I'm looking for a song that will uplift my mood. Can you recommend something upbeat and energetic?,0.16129032258064513,0.0714285714285714,0.15075567228888187,0.16129032258064513,0.15306122448979587,0.15000000000000002,0.29704426289300234,0.15306122448979587
You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?",Hello! How can I assist you today with scheduling your restaurant reservation at Betty Spaghetti for 4 people at 11:30 am?,Hi there! I'd like to make a reservation for 4 at Betty Spaghetti for 11:30 am.,0.4508196721311475,0.34615384615384615,0.5248906591678238,0.4508196721311475,0.15189873417721522,0.0,0.0,0.15189873417721522
How long would you like to have the room for?,I'd like to have the room for 3 days.,Welcome to our hotel reservation service. How many days would you like to stay?,"I would like to stay for 3 days, please. I'm excited to explore the city during my stay!",0.26582278481012656,0.26315789473684204,0.42257712736425823,0.26582278481012656,0.2727272727272727,0.2272727272727273,0.3928371006591931,0.2727272727272727
,Can you find some attractions for me? I prefer a garden.,Welcome! How can I assist you in finding attractions in the park?,Hi there! I'm interested in exploring some outdoor activities at the park.,0.0,0.0,0.0,0.0,0.21621621621621623,0.045454545454545414,0.0870388279778489,0.21621621621621623
Where would you leave from and when are you going to be back?,I will be leaving from Los Angeles and be back on the 4th of this month.,Welcome! How can I assist you today with your flight booking from Los Angeles on the 4th of this month?,"Hello, I'm looking to book a roundtrip flight from Los Angeles on the 4th of this month.",0.2621359223300971,0.06451612903225801,0.12403473458920844,0.2621359223300971,0.4545454545454546,0.375,0.5457051563317492,0.4545454545454546
Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.",Hello! How can I assist you with adding an event to your calendar?,I need to schedule a meeting for next Tuesday.,0.18181818181818177,0.0,0.0,0.18181818181818177,0.26086956521739135,0.125,0.2222222222222222,0.26086956521739135
4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.",Hello! How can I assist you today in finding accommodations at Best Western Plus Las Vegas West?,I'm looking for a comfortable stay at Best Western Plus Las Vegas West. Can you help me with that?,0.47916666666666663,0.25,0.4036036763977875,0.47916666666666663,0.13265306122448983,0.0,0.0,0.13265306122448983
,Can I make a restaurant reservation? I want it on March 12th.,Welcome to our restaurant reservation service. How can I assist you today?,I would like to make a reservation for a table on March 12th.,0.0,0.0,0.0,0.0,0.5081967213114754,0.3157894736842105,0.48038446141526137,0.5081967213114754
Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,Welcome! How may I assist you today with your flight reservations?,I would like to book a roundtrip flight for 1 passenger in Economy class.,0.19047619047619047,0.024390243902439046,0.0541530361073882,0.19047619047619047,0.2465753424657534,0.09523809523809523,0.17817416127494956,0.2465753424657534
I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,Hello! How can I assist you today?,I'm looking for events happening on March 5th.,0.24615384615384617,0.05263157894736836,0.10482848367219177,0.24615384615384617,0.27692307692307694,0.045454545454545414,0.09128709291752768,0.27692307692307694
Sorry I was unable to make the appointment. Can I assist you with another task?,Try the reservation again. This time. Try it for 4:45 in the evening.,Hello! How can I assist you today?,"I'd like to book an appointment for 4 : 45 in the evening, please.",0.31645569620253167,0.1578947368421053,0.2927700218845599,0.31645569620253167,0.3623188405797102,0.125,0.22237479499833035,0.3623188405797102
What time works best for you?,See if they have any availability for 17:30.,Good afternoon! How may I assist you today?,Hello! I would like to make a reservation at a restaurant for 5:30 pm.,0.2790697674418605,0.0,0.0,0.2790697674418605,0.3142857142857143,0.04761904761904767,0.09449111825230683,0.3142857142857143
"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,Welcome! How may I assist you today with your flight search?,Hello! I'm looking for a one-way flight to Paris for next week.,0.2348993288590604,0.11428571428571432,0.22792115291927595,0.2348993288590604,0.2222222222222222,0.0,0.0,0.2222222222222222
The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,Hello! How can I assist you today in purchasing event tickets?,I'm excited to explore some new events and buy tickets. Can you help me with that?,0.27419354838709675,0.0,0.0,0.27419354838709675,0.23170731707317072,0.23809523809523814,0.3952847075210474,0.23170731707317072
"Yes, no cost.","Nice, I want to purchase a ticket to the bus you mentioned earlier.",Welcome! How can I assist you today in finding attractions?,I'm looking for some interesting places to visit. Can you help me find some attractions?,0.11864406779661019,0.0,0.0,0.11864406779661019,0.28409090909090906,0.07692307692307687,0.1432229748078866,0.28409090909090906
Shall I purchase the tickets now?,No. Not at this time.,Hello! How can I assist you today?,I need information about the bus schedules in the city.,0.20588235294117652,0.08333333333333337,0.15430334996209194,0.20588235294117652,0.2545454545454545,0.0,0.0,0.2545454545454545
It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,Welcome! How can I assist you in finding a restaurant in the city for Italian cuisine?,I'm looking for a cozy place to enjoy some authentic Italian dishes in the city.,0.2441860465116279,0.06666666666666665,0.125,0.2441860465116279,0.2680412371134021,0.1428571428571428,0.2504897164340598,0.2680412371134021
The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,Hello! How can I assist you today?,I was wondering if you could tell me the weather forecast for tomorrow.,0.05882352941176472,0.0,0.0,0.05882352941176472,0.2551020408163265,0.032258064516129004,0.06362847629757773,0.2551020408163265
Do you need more help?,I need to find a salon too.,Welcome! How can I assist you today?,I'm looking for a service provider who can help me with organizing my schedule.,0.2222222222222222,0.09090909090909094,0.16903085094570325,0.2222222222222222,0.20253164556962022,0.050000000000000044,0.10101525445522108,0.20253164556962022
What name should I use for the event and what time? Is the event happening at 458 B Street?,Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.,Hello! How can I assist you with adding this event to your calendar?,I need to add a restaurant reservation for 4 at Mariscos El Patron at 7:30 PM at 458 B Street.,0.2417582417582418,0.06666666666666665,0.12725695259515557,0.2417582417582418,0.6161616161616161,0.22580645161290325,0.3689323936863109,0.6161616161616161
The car is on its way.,Will this dent my wallet? How long will it take?,Hello! How can I assist you today?,I need to book a ride. Can you tell me the approximate ride duration and ride fare?,0.2941176470588235,0.0,0.0,0.2941176470588235,0.2650602409638554,0.0,0.0,0.2650602409638554
"There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.","That apartment sounds good, I would like to schedule a visit.",Hello! Welcome to Wilford Lane Apartments. How can I assist you today?,I'm interested in scheduling a visit to Wilford Lane Apartments.,0.2931034482758621,0.06451612903225801,0.12598815766974236,0.2931034482758621,0.203125,0.10526315789473684,0.19069251784911845,0.203125
"You can contact them at 415-561-4900 and unfortunately, entry to this attraction is not free.","I see, could you make a reservation for the bus to visit this area please?",Welcome! How can I assist you today in finding attractions?,I'm looking for some recommendations on attractions to visit in this city.,0.26881720430107525,0.04166666666666663,0.08164965809277258,0.26881720430107525,0.32432432432432434,0.17391304347826086,0.2981423969999719,0.32432432432432434
What date are you interested in?,The 9th of this month and I would like a regular show.,Welcome to our movie service! How can I assist you today?,I'm looking for movie times for a regular show on the 9th of this month.,0.26315789473684215,0.0625,0.1230914909793327,0.26315789473684215,0.26388888888888884,0.2272727272727273,0.3726779962499649,0.26388888888888884
Would you like me to schedule a visit for you?,No. That will be all. Bye!,Hello! How can I assist you today?,I'm looking for advice on managing my time better.,0.28260869565217395,0.0625,0.11952286093343933,0.28260869565217395,0.18000000000000005,0.0,0.0,0.18000000000000005
I was unable to schedule you for that time. How about an appointment at Sofia African Hair Braiding for 4 pm on March 5th?,"Sure, that works too.",Welcome! How can I assist you today?,"I would like to schedule an appointment for 4 pm, please.",0.1885245901639344,0.1071428571428571,0.23145502494313785,0.1885245901639344,0.19298245614035092,0.0,0.0,0.19298245614035092
That's like goes to JFK International Airport.,"Perfect, I'll take that.",Hello! How can I assist you with your flight search today?,"I'm looking for a one-way flight with American Airlines, departing in the morning.",0.1724137931034483,0.0,0.0,0.1724137931034483,0.14634146341463417,0.0,0.0,0.14634146341463417
Their phone is 916-445-4422 and yes it's child-friendly.,I would like to find a house to stay there for two with a rating of 3.5.,Welcome! How can I assist you today in finding attractions?,Hi there! I'm looking for some recommendations on attractions to visit. Can you help me with that?,0.11864406779661019,0.0,0.0,0.11864406779661019,0.26530612244897955,0.09677419354838712,0.17647058823529416,0.26530612244897955
"Great, thank you. Your appointment has been set.",What is their phone number?,Hello! How can I assist you today?,"I would like to book an appointment, please.",0.1875,0.0,0.0,0.1875,0.2272727272727273,0.0,0.0,0.2272727272727273
"No, the ticket is non refundable.",Are there any other available flights? It is for one person.,Welcome! How may I assist you today in finding roundtrip flights?,I'm looking to book roundtrip flights for 1 passenger.,0.23076923076923073,0.0,0.0,0.23076923076923073,0.30000000000000004,0.05263157894736836,0.10050378152592121,0.30000000000000004
"What location will you depart from, and is there an airline you prefer, such as Alaska Airlines, Delta Airlines, or some other? What day do you intend to depart?","I am departing on the 1st of this month from LA, and I'd like to get American Airlines.",Hello! How can I assist you today with your flight reservation on American Airlines from LA on the 1st of this month?,Hi there! I'm looking to book a roundtrip flight on American Airlines from LA on the 1st of this month.,0.30434782608695654,0.020000000000000018,0.03959037912324481,0.30434782608695654,0.2524271844660194,0.2666666666666666,0.42163702135578385,0.2524271844660194
,Would you look for 1 hotel room?,Welcome to our hotel booking service. How can I assist you today?,I'm looking to book a hotel room for one night. Can you help me find available options?,0.0,0.0,0.0,0.0,0.24137931034482762,0.1428571428571428,0.2750095491084634,0.24137931034482762
It's a pop show,And where do I find it? What time?,Welcome! How can I assist you today?,I'm looking for upcoming events in the area. Can you help me find some?,0.13888888888888884,0.0,0.0,0.13888888888888884,0.22535211267605637,0.04761904761904767,0.09449111825230683,0.22535211267605637
"Do you wish to have consultation with Carla Stelling, Md, a Gynecologist in Oakland?",Yup that would work.,Welcome! How can I assist you today in finding a provider?,"I am looking for a doctor named Carla Stelling, Md.",0.22619047619047616,0.13636363636363635,0.2417468892076141,0.22619047619047616,0.1568627450980392,0.0,0.0,0.1568627450980392
The flight takes off from McCarran International Airport but it is not a refundable ticket.,Thank you. I also need to find 1 hotel room there.,Welcome to our flight reservation service. How can I assist you today?,"I would like to book a one-way flight to Paris, please.",0.2637362637362637,0.038461538461538436,0.07453559924999298,0.2637362637362637,0.23636363636363633,0.09999999999999998,0.18181818181818188,0.23636363636363633
,Is there any Hip Hop events on the 12th.,Hello! How can I assist you today?,I'm looking for some Hip Hop events on the 12th.,0.0,0.0,0.0,0.0,0.6458333333333333,0.46153846153846156,0.6324555320336759,0.6458333333333333
What hotel would you like to stay at?,Quest Bella Vista. I actually want to check in on March 7th now.,Hello! How can I assist you today with your hotel reservation at Quest Bella Vista for March 7th?,I'm excited to book a room for my upcoming trip! I've heard great things about Quest Bella Vista.,0.23711340206185572,0.08333333333333337,0.16666666666666663,0.23711340206185572,0.21649484536082475,0.14814814814814814,0.26148818018424536,0.21649484536082475
"Done, its confirmed",thanks a lot,Welcome to our hotel reservation service. How can I assist you today?,I'm looking to make a reservation for a double room for two nights.,0.1594202898550725,0.0,0.0,0.1594202898550725,0.13432835820895528,0.06666666666666665,0.16012815380508716,0.13432835820895528
The show is a Hip Hop event.,I like how that sounds.,Hello! How can I assist you today in finding events?,I'm looking for some interesting events to attend. Can you help me find one?,0.28846153846153844,0.0,0.0,0.28846153846153844,0.19736842105263153,0.0,0.0,0.19736842105263153
,I have an upcoming trip. Can you find me one way flights?,Welcome to our flight booking service. How can I assist you today?,I'm looking for a one-way flight to New York. Can you help me with that?,0.0,0.0,0.0,0.0,0.26388888888888884,0.125,0.22360679774997894,0.26388888888888884
Return flight arrives at 0:16 am with 1 stop.,Thanks. Will you find attractions?,Hello! How can I assist you today with your flight reservation?,Hi there! I'm looking to book a roundtrip flight to Paris for next month.,0.25396825396825395,0.11111111111111116,0.20100756305184242,0.25396825396825395,0.20547945205479456,0.0,0.0,0.20547945205479456
I can also suggest Darith Khay Inc. He is a General Practitioner in San Jose.,Okay. Can you tell me the weather conditions there on the March 13th?,Hello! How can I assist you today in finding a provider?,"I'm looking for a doctor, specifically Dr. Darith Khay Inc.",0.20779220779220775,0.18181818181818188,0.31139957766460924,0.20779220779220775,0.18840579710144922,0.0,0.0,0.18840579710144922
For what time?,For 11 in the morning.,Welcome to our restaurant! How can I assist you today?,"I'd like to make a reservation for 11 in the morning, please.",0.16666666666666663,0.0,0.0,0.16666666666666663,0.34426229508196726,0.2142857142857143,0.3872983346207417,0.34426229508196726
It leaves from Seattle-Tacoma International Airport.,Please find out if it's an overnight flight and whether it has one stop.,Welcome! How can I assist you today in finding roundtrip flights?,I'm looking to book a roundtrip flight. I prefer non-stop flights and would like to avoid red-eye flights.,0.19999999999999996,0.0,0.0,0.19999999999999996,0.3207547169811321,0.032258064516129004,0.06299407883487118,0.3207547169811321
