id,system,user,intent,new_system,new_user,system_bf,user_bf
14,The cab should be here in 3 minutes.,Thank you for your help.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}",The cab should be here in 3 minutes.,Thank you for your help.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.8, 0.3, 0.7, 0.2]"
15,No problem. Can I help you with anything else?,"No, not right now. Thanks again!","Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}",No problem. Can I help you with anything else?,"No, not right now. Thanks again!","[0.6, 0.8, 0.4, 0.7, 0.3]","[0.4, 0.2, 0.6, 0.3, 0.7]"
16,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}",I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.8, 0.5, 0.7, 0.4]"
17,"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}","Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","[0.6, 0.8, 0.2, 0.5, 0.4]","[0.3, 0.4, 0.5, 0.6, 0.7]"
18,I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",I've successfully booked your tickets.,Thank you so much for everything. Could you also help me find two hotel rooms at the destination?,"[0.8, 0.7, 0.5, 0.6, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.3]"
19,Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}",Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","[0.5, 0.8, 0.2, 0.4, 0.3]","[0.4, 0.3, 0.4, 0.6, 0.2]"
20,When will you be back?,I'll be back on the 11th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}",When will you be back?,I'll be back on the 11th of this month.,"[0.0, 0.4, 0.2, 0.6, 0.8]","[0.6, 0.8, 0.4, 0.6, 0.2]"
21,Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.6, 0.4, 0.6, 0.4]"
22,Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.4]"
23,$140 in full,anything rlse there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",$140 in full,Anything else there? How about this lovely painting over here?,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.9, 0.5, 0.7, 0.8, 0.2]"
24,The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}",The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","[0.5, 0.7, 0.2, 0.4, 0.6]","[0.8, 0.3, 0.6, 0.7, 0.4]"
25,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}",Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"[0.8, 0.6, 0.4, 0.7, 0.2]","[0.4, 0.2, 0.2, 0.6, 0.4]"
26,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}",You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.7, 0.4]"
27,The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}",The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is there anything else available? I'm looking for hotels in Paris, France. I need three rooms.","[0.6, 0.8, 0.2, 0.4, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.5]"
28,Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}",Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","[0.5, 0.8, 0.2, 0.6, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]"
29,please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}",Please confirm your shared ride for 3 people going to 140 New Montgomery Street #1.,"Yes, please!","[0.8, 0.6, 0.4, 0.7, 0.2]","[0.7, 0.3, 0.6, 0.8, 0.1]"
30,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Please help me find one-way flights.,"Sure, I can help you with that. Where are you planning to fly to?","[0.5, 0.75, 0.25, 0.5, 0.25]","[0.75, 0.5, 0.5, 0.75, 0.25]"
31,"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}","There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","[0.8, 0.6, 0.4, 0.7, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.3]"
32,"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}","Will you be seeking a dermatologist, ophthalmologist, or another specialist?",I need an ophthalmologist.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.2, 0.4, 0.6, 0.8]"
33,Do you wish to play the movie?,Nope. I am not interested in doing it.,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Do you want to explore the movie world?,Nope. I am not interested in doing it.,"[0.8, 0.6, 0.75, 0.85, 0.4]","[0.3, 0.2, 0.2, 0.25, 0.7]"
34,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}",I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"[0.4, 0.8, 0.2, 0.6, 0.2]","[0.3, 0.5, 0.4, 0.4, 0.3]"
35,Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}",Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.25, 0.25, 0.25, 0.75, 0.75]"
36,What time do you want to eat?,Book a table for 2 at eleven in the morning.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'time': 'eleven in the morning'}",What time do you want to eat?,Book a table for 2 at eleven in the morning.,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.6, 0.7, 0.4, 0.7, 0.3]"
37,Would you like my help with anything else?,Could you also check for a round-trip flight going there?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '4', 'destination_city': '[CLS]', 'origin_city': '[CLS]'}",Would you like my help with anything else?,Could you also check for a round-trip flight going there?,"[0.75, 0.6, 0.5, 0.8, 0.4]","[0.6, 0.4, 0.7, 0.75, 0.3]"
38,,I need tickets for a short flight i need to get.,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}",Hello! How may I assist you today?,I need tickets for a short flight I need to get.,"[0.8, 0.7, 0.6, 0.5, 0.4]","[0.6, 0.4, 0.4, 0.6, 0.3]"
39,"Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.","Service name: Homes_1
Active intent: 
Requested slots: 
Slot values: {}","Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.","[0.4, 0.6, 0.2, 0.6, 0.3]","[0.4, 0.4, 0.2, 0.8, 0.2]"
40,Is there anything else I can help you with?,No. That will be all. Thank you!,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Is there anything else I can assist you with?,No. That will be all. Thank you!,"[0.6, 0.8, 0.4, 0.6, 0.3]","[0.4, 0.2, 0.6, 0.4, 0.7]"
41,Do you prefer The Innocent?,Innocent is good!,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'title': 'The Innocent'}",Do you prefer The Innocent?,Innocent is good!,"[0.6, 0.4, 0.2, 0.6, 0.3]","[0.5, 0.4, 0.5, 0.6, 0.4]"
42,,Would you help me find a bus trip? I prefer Economy extra tickets.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy extra'}","Sure, I can help you with that. Let's look for a bus trip with Economy extra tickets.",Would you help me find a bus trip? I prefer Economy extra tickets.,"[0.7, 0.8, 0.5, 0.6, 0.3]","[0.4, 0.6, 0.3, 0.4, 0.2]"
43,Your ticket has been successfully confirmed.,"Awesome, thanks for your help.","Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}",Your ticket has been successfully confirmed.,"Awesome, thanks for your help.","[0.5, 0.8, 0.3, 0.6, 0.2]","[0.7, 0.6, 0.8, 0.7, 0.4]"
44,Savings or checking?,Checking account.,"Service name: Banks_1
Active intent: CheckBalance
Requested slots: 
Slot values: {'account_type': 'checking'}",Savings or checking?,Checking account.,"[0.5, 0.7, 0.3, 0.6, 0.4]","[0.4, 0.6, 0.4, 0.5, 0.5]"
45,There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year the song is from?,"Service name: Music_1
Active intent: LookupSong
Requested slots: year
Slot values: {}",There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year was the song released?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.2, 0.6, 0.4, 0.8]"
46,"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {'playback_device': 'bedroom speaker'}","Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,"[0.5, 0.8, 0.6, 0.7, 0.4]","[0.6, 0.4, 0.4, 0.6, 0.5]"
47,,I'm planning on going on a short trip with friends. Can you find me a bus?,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}",The user asked for help in finding a bus for a short trip with friends.,I'm super excited about planning this short trip with my friends! Do you think you could help me find a bus for us?,"[0.5, 0.8, 0.3, 0.7, 0.2]","[0.8, 0.6, 0.7, 0.8, 0.4]"
48,Play it now?,"No, not yet.","Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Play it now?,"No, not yet.","[0.5, 0.6, 0.4, 0.5, 0.5]","[0.4, 0.4, 0.4, 0.6, 0.6]"
49,Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: total_price
Slot values: {}",Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,"[0.8, 0.9, 0.6, 0.7, 0.3]","[0.4, 0.5, 0.5, 0.6, 0.5]"
50,your room is booked,please search a song for me,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {}",I have booked your room. Would you like me to assist you in finding a song?,Please search a song for me.,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.65, 0.4, 0.7, 0.55, 0.6]"
51,You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?","Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_name': 'restaurant reservation for 4 at Betty Spaghetti', 'event_time': '11 : 30 am'}",You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?","[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.6, 0.4]"
52,How long would you like to have the room for?,I'd like to have the room for 3 days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '3'}",How long would you like to have the room for?,I'd like to have the room for 3 days.,"[0.5, 0.75, 0.25, 0.5, 0.25]","[0.5, 0.25, 0.5, 0.75, 0.25]"
53,,Can you find some attractions for me? I prefer a garden.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Park'}",Can you find some attractions for me? I prefer a garden.,Sure! I know a beautiful botanical garden nearby that you might enjoy.,"[0.5, 0.7, 0.2, 0.8, 0.3]","[0.6, 0.8, 0.4, 0.9, 0.2]"
54,Where would you leave from and when are you going to be back?,I will be leaving from Los Angeles and be back on the 4th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin_city': 'Los Angeles', 'return_date': '4th of this month'}",Where are you departing from and when do you plan to return?,I will be departing from Los Angeles and returning on the 4th of this month.,"[0.6, 0.8, 0.4, 0.6, 0.4]","[0.6, 0.6, 0.4, 0.6, 0.4]"
55,Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_date': '[CLS]'}",Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.","[0.6, 0.8, 0.2, 0.4, 0.3]","[0.5, 0.6, 0.4, 0.6, 0.4]"
56,4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Best Western Plus Las Vegas West'}",4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.","[0.6, 0.7, 0.4, 0.6, 0.4]","[0.6, 0.4, 0.4, 0.7, 0.3]"
57,,Can I make a restaurant reservation? I want it on March 12th.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'date': 'March 12th'}",Can I make a restaurant reservation? I want it on March 12th.,Sure! I'd love to help with that. What type of cuisine are you interested in for the reservation?,"[0.5, 0.5, 0.4, 0.6, 0.3]","[0.7, 0.6, 0.8, 0.7, 0.4]"
58,Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: outbound_arrival_time
Slot values: {'passengers': '1', 'seating_class': 'Economy'}",Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.8, 0.4]"
59,I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': 'March 5th'}",I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,"[0.8, 0.7, 0.6, 0.5, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.3]"
60,Sorry I was unable to make the appointment. Can I assist you with another task?,Try the reservation again. This time. Try it for 4:45 in the evening.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '4 : 45 in the evening'}",Sorry for missing the appointment. Can I help you with another task?,Please try rescheduling the appointment for 4:45 in the evening this time.,"[0.6, 0.8, 0.4, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.7, 0.4]"
61,What time works best for you?,See if they have any availability for 17:30.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '17 : 30'}",What time works best for you?,See if they have any availability for 17:30.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.6, 0.2, 0.4, 0.8, 0.4]"
62,"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","One moment, I found 3 flights that may work for you. I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,"[0.6, 0.8, 0.4, 0.2, 0.3]","[0.4, 0.2, 0.6, 0.8, 0.7]"
63,The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.7, 0.6, 0.5, 0.8, 0.4]"
64,"Yes, no cost.","Nice, I want to purchase a ticket to the bus you mentioned earlier.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","Yes, no cost.",Great! I'm excited to purchase a ticket for the bus you mentioned earlier.,"[0.5, 0.8, 0.2, 0.6, 0.3]","[0.6, 0.7, 0.8, 0.7, 0.4]"
65,Shall I purchase the tickets now?,No. Not at this time.,"Service name: Buses_2
Active intent: 
Requested slots: 
Slot values: {}",Shall I purchase the tickets now?,No. Not at this time.,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.4, 0.6, 0.2, 0.6, 0.4]"
66,It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]', 'cuisine': 'Italian'}",It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,"[0.5, 0.8, 0.2, 0.5, 0.3]","[0.6, 0.4, 0.6, 0.7, 0.2]"
67,The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,"[0.2, 0.6, 0.4, 0.6, 0.8]","[0.6, 0.8, 0.4, 0.6, 0.2]"
68,Do you need more help?,I need to find a salon too.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}",Do you want to explore different styles or just looking for a traditional salon?,I need to find a salon too.,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.5, 0.4, 0.6, 0.5, 0.4]"
69,What name should I use for the event and what time? Is the event happening at 458 B Street?,Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_location': '458 B Street', 'event_name': 'Restaurant reservation for 4 at Mariscos El Patron', 'event_time': '19 : 30'}",What name should I use for the event and what time? Is the event happening at 458 B Street?,Yes. Please call it Restaurant reservation for 4 at Mariscos El Patron and the event time is 19:30.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.8, 0.7, 0.6, 0.8, 0.4]"
70,The car is on its way.,Will this dent my wallet? How long will it take?,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: approximate_ride_duration, ride_fare
Slot values: {}",The car is en route.,Will this dent my wallet? How long will it take?,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.3, 0.2, 0.2, 0.1, 0.6]"
71,"There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.","That apartment sounds good, I would like to schedule a visit.","Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'property_name': 'Wilford Lane Apartments'}","There is Wilford Lane Apartments located at 160 Wilford Lane it has 4 bedrooms and 3 bathrooms for $5,250 per month.","That apartment sounds good, I would like to schedule a visit.","[0.8, 0.6, 0.4, 0.5, 0.3]","[0.7, 0.4, 0.6, 0.7, 0.2]"
72,"You can contact them at 415-561-4900 and unfortunately, entry to this attraction is not free.","I see, could you make a reservation for the bus to visit this area please?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","You can contact them at 415-561-4900 and unfortunately, entry to this attraction is not free.","I see, could you make a reservation for the bus to visit this area please?","[0.6, 0.8, 0.4, 0.2, 0.3]","[0.4, 0.3, 0.5, 0.7, 0.2]"
73,What date are you interested in?,The 9th of this month and I would like a regular show.,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_type': 'regular', 'show_date': '9th of this month'}",What date are you interested in?,"I'm interested in the 9th of this month, and I would prefer a regular show.","[0.6, 0.8, 0.4, 0.5, 0.3]","[0.7, 0.7, 0.4, 0.6, 0.2]"
74,Would you like me to schedule a visit for you?,No. That will be all. Bye!,"Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}",Would you like me to schedule a visit for you?,No. That will be all. Bye!,"[0.8, 0.6, 0.2, 0.4, 0.3]","[0.2, 0.4, 0.4, 0.2, 0.7]"
