id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
11,"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}","Great, I was able to reserve your ticket.","Alright, now I'm going to need to search for a hotel that takes pets.","[0.5, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.2]","[0.16177166998386383, 0.23443137109279633, 0.19584472477436066, 0.19935257732868195, 0.20859971642494202]","[0.15756578743457794, 0.2504429221153259, 0.1865103542804718, 0.1876411736011505, 0.21783967316150665]","[0.33822833001613617, 0.46556862890720363, 0.20415527522563937, 0.40064742267131803, 0.09140028357505797]","[0.44243421256542204, 0.1495570778846741, 0.3134896457195282, 0.5123588263988494, -0.01783967316150664]"
12,The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}",The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","[0.4, 0.6, 0.2, 0.6, 0.8]","[0.6, 0.4, 0.8, 0.4, 0.2]","[0.16155198216438293, 0.24131657183170319, 0.18459565937519073, 0.17932137846946716, 0.23321446776390076]","[0.15851344168186188, 0.24885740876197815, 0.1864711344242096, 0.18731354176998138, 0.21884441375732422]","[0.2384480178356171, 0.3586834281682968, 0.015404340624809276, 0.4206786215305328, 0.5667855322360993]","[0.4414865583181381, 0.15114259123802187, 0.6135288655757904, 0.21268645823001864, -0.018844413757324208]"
13,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}","Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"[0.5, 0.8, 0.3, 0.6, 0.4]","[0.7, 0.6, 0.4, 0.7, 0.2]","[0.15395693480968475, 0.24191461503505707, 0.19434289634227753, 0.18439233303070068, 0.22539319097995758]","[0.1541365385055542, 0.2545565664768219, 0.18441995978355408, 0.17393280565738678, 0.23295409977436066]","[0.34604306519031525, 0.558085384964943, 0.10565710365772246, 0.4156076669692993, 0.17460680902004244]","[0.5458634614944458, 0.3454434335231781, 0.21558004021644595, 0.5260671943426132, -0.032954099774360646]"
14,The cab should be here in 3 minutes.,Thank you for your help.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}",The cab should be here in 3 minutes.,Thank you for your help.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.8, 0.3, 0.7, 0.2]","[0.17665570974349976, 0.2379244714975357, 0.1901506930589676, 0.18298287689685822, 0.21228617429733276]","[0.16882090270519257, 0.2288392186164856, 0.19822977483272552, 0.18714241683483124, 0.21696758270263672]","[-0.17665570974349976, -0.2379244714975357, -0.1901506930589676, -0.18298287689685822, -0.21228617429733276]","[0.33117909729480743, 0.5711607813835144, 0.10177022516727446, 0.5128575831651687, -0.016967582702636708]"
15,No problem. Can I help you with anything else?,"No, not right now. Thanks again!","Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}",No problem. Can I help you with anything else?,"No, not right now. Thanks again!","[0.6, 0.8, 0.4, 0.7, 0.3]","[0.4, 0.2, 0.6, 0.3, 0.7]","[0.15205520391464233, 0.24557289481163025, 0.19413335621356964, 0.18851640820503235, 0.21972213685512543]","[0.15767833590507507, 0.25044316053390503, 0.19478125870227814, 0.18967145681381226, 0.20742571353912354]","[0.44794479608535764, 0.5544271051883698, 0.20586664378643038, 0.5114835917949676, 0.08027786314487456]","[0.24232166409492495, -0.05044316053390502, 0.40521874129772184, 0.11032854318618773, 0.4925742864608764]"
16,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}",I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.8, 0.5, 0.7, 0.4]","[0.147515669465065, 0.2474856674671173, 0.18938559293746948, 0.1741257607936859, 0.2414873093366623]","[0.15986959636211395, 0.23136968910694122, 0.18167157471179962, 0.1922653615474701, 0.2348237782716751]","[0.652484330534935, 0.45251433253288265, 0.21061440706253054, 0.42587423920631406, 0.058512690663337696]","[0.440130403637886, 0.5686303108930588, 0.3183284252882004, 0.5077346384525299, 0.1651762217283249]"
17,"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}","Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","[0.6, 0.8, 0.2, 0.5, 0.4]","[0.3, 0.4, 0.5, 0.6, 0.7]","[0.15157829225063324, 0.2374192476272583, 0.19868329167366028, 0.18304242193698883, 0.22927668690681458]","[0.17990651726722717, 0.2543090879917145, 0.1811521053314209, 0.18367387354373932, 0.20095829665660858]","[0.44842170774936674, 0.5625807523727417, 0.0013167083263397328, 0.31695757806301117, 0.17072331309318545]","[0.12009348273277282, 0.14569091200828554, 0.3188478946685791, 0.41632612645626066, 0.4990417033433914]"
18,I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",I've successfully booked your tickets.,Thank you so much for everything. Could you also help me find two hotel rooms at the destination?,"[0.8, 0.7, 0.5, 0.6, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.3]","[0.1738368570804596, 0.23200899362564087, 0.18101154267787933, 0.18296770751476288, 0.23017488420009613]","[0.15464994311332703, 0.2510811686515808, 0.19135503470897675, 0.18815264105796814, 0.21476125717163086]","[0.6261631429195404, 0.4679910063743591, 0.31898845732212067, 0.4170322924852371, 0.1698251157999039]","[0.5453500568866729, 0.34891883134841917, 0.40864496529102323, 0.6118473589420319, 0.08523874282836913]"
19,Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}",Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","[0.5, 0.8, 0.2, 0.4, 0.3]","[0.4, 0.3, 0.4, 0.6, 0.2]","[0.1625974327325821, 0.23630936443805695, 0.1983904391527176, 0.1754426211118698, 0.22726011276245117]","[0.15700604021549225, 0.24066953361034393, 0.20375868678092957, 0.18435978889465332, 0.21420590579509735]","[0.3374025672674179, 0.5636906355619431, 0.0016095608472824208, 0.2245573788881302, 0.07273988723754882]","[0.24299395978450777, 0.059330466389656056, 0.19624131321907046, 0.41564021110534666, -0.01420590579509734]"
20,When will you be back?,I'll be back on the 11th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}",When will you be back?,I'll be back on the 11th of this month.,"[0.0, 0.4, 0.2, 0.6, 0.8]","[0.6, 0.8, 0.4, 0.6, 0.2]","[0.16818609833717346, 0.2480693757534027, 0.17582468688488007, 0.1789412647485733, 0.22897858917713165]","[0.1647712141275406, 0.24509833753108978, 0.1796419620513916, 0.18140055239200592, 0.2290879487991333]","[-0.16818609833717346, 0.1519306242465973, 0.024175313115119945, 0.4210587352514267, 0.5710214108228684]","[0.4352287858724594, 0.5549016624689103, 0.22035803794860842, 0.41859944760799406, -0.02908794879913329]"
21,Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.6, 0.4, 0.6, 0.4]","[0.16783961653709412, 0.2374977320432663, 0.19676141440868378, 0.19356980919837952, 0.20433136820793152]","[0.15728658437728882, 0.2523331344127655, 0.18952687084674835, 0.18515987694263458, 0.21569351851940155]","[0.43216038346290586, 0.5625022679567337, 0.20323858559131625, 0.40643019080162046, -0.0043313682079315075]","[0.2427134156227112, 0.3476668655872345, 0.21047312915325167, 0.4148401230573654, 0.18430648148059847]"
22,Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.4]","[0.16285595297813416, 0.24159793555736542, 0.1868545413017273, 0.17762169241905212, 0.23106984794139862]","[0.15837617218494415, 0.24438191950321198, 0.19526907801628113, 0.19386392831802368, 0.2081088423728943]","[0.6371440470218659, 0.45840206444263454, 0.21314545869827273, 0.42237830758094785, 0.06893015205860137]","[0.4416238278150558, 0.15561808049678805, 0.30473092198371887, 0.5061360716819763, 0.19189115762710574]"
23,$140 in full,anything rlse there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",$140 in full,Anything else there? How about this lovely painting over here?,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.9, 0.5, 0.7, 0.8, 0.2]","[0.16823457181453705, 0.22335250675678253, 0.197618767619133, 0.1945914924144745, 0.21620264649391174]","[0.15564559400081635, 0.22742284834384918, 0.1873306930065155, 0.18575608730316162, 0.24384473264217377]","[0.631765428185463, 0.4766474932432174, 0.20238123238086703, 0.4054085075855255, 0.08379735350608825]","[0.7443544059991837, 0.2725771516561508, 0.5126693069934845, 0.6142439126968384, -0.043844732642173756]"
24,The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}",The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","[0.5, 0.7, 0.2, 0.4, 0.6]","[0.8, 0.3, 0.6, 0.7, 0.4]","[0.16800494492053986, 0.2423267662525177, 0.19202056527137756, 0.17926257848739624, 0.21838518977165222]","[0.16301080584526062, 0.24763722717761993, 0.17971685528755188, 0.1890084594488144, 0.22062671184539795]","[0.33199505507946014, 0.45767323374748226, 0.007979434728622448, 0.22073742151260378, 0.38161481022834776]","[0.6369891941547394, 0.052362772822380055, 0.4202831447124481, 0.5109915405511856, 0.17937328815460207]"
25,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}",Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"[0.8, 0.6, 0.4, 0.7, 0.2]","[0.4, 0.2, 0.2, 0.6, 0.4]","[0.1611119508743286, 0.24853459000587463, 0.1898767352104187, 0.18439528346061707, 0.2160813957452774]","[0.170325368642807, 0.2393759936094284, 0.19424515962600708, 0.17998673021793365, 0.21606677770614624]","[0.6388880491256714, 0.35146540999412534, 0.21012326478958132, 0.5156047165393829, -0.016081395745277394]","[0.22967463135719302, -0.039375993609428395, 0.005754840373992931, 0.4200132697820663, 0.18393322229385378]"
26,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}",You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.7, 0.4]","[0.1576467752456665, 0.24667979776859283, 0.18017975986003876, 0.18908770382404327, 0.22640594840049744]","[0.175008162856102, 0.23321905732154846, 0.1900942027568817, 0.1966499537229538, 0.20502865314483643]","[0.6423532247543335, 0.4533202022314071, 0.21982024013996126, 0.4109122961759567, 0.07359405159950255]","[0.524991837143898, 0.3667809426784515, 0.3099057972431183, 0.5033500462770462, 0.1949713468551636]"
27,The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}",The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is there anything else available? I'm looking for hotels in Paris, France. I need three rooms.","[0.6, 0.8, 0.2, 0.4, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.5]","[0.16682054102420807, 0.2344149947166443, 0.18696048855781555, 0.18445147573947906, 0.22735248506069183]","[0.16223548352718353, 0.24373094737529755, 0.18577468395233154, 0.17946986854076385, 0.22878901660442352]","[0.4331794589757919, 0.5655850052833558, 0.01303951144218446, 0.21554852426052096, 0.07264751493930816]","[0.5377645164728164, 0.15626905262470248, 0.41422531604766843, 0.6205301314592362, 0.2712109833955765]"
28,Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}",Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","[0.5, 0.8, 0.2, 0.6, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]","[0.17650626599788666, 0.23205037415027618, 0.19213518500328064, 0.18139782547950745, 0.21791036427021027]","[0.16073015332221985, 0.2399372160434723, 0.20165115594863892, 0.19067974388599396, 0.2070016860961914]","[0.32349373400211334, 0.5679496258497239, 0.007864814996719371, 0.41860217452049253, 0.08208963572978972]","[0.5392698466777801, 0.16006278395652773, 0.39834884405136106, 0.6093202561140061, -0.007001686096191395]"
29,please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}",Please confirm your shared ride for 3 people going to 140 New Montgomery Street #1.,"Yes, please!","[0.8, 0.6, 0.4, 0.7, 0.2]","[0.7, 0.3, 0.6, 0.8, 0.1]","[0.1586974710226059, 0.231155127286911, 0.18948350846767426, 0.1763707995414734, 0.24429310858249664]","[0.15359674394130707, 0.23502175509929657, 0.21997472643852234, 0.18006406724452972, 0.2113427370786667]","[0.6413025289773941, 0.36884487271308897, 0.21051649153232577, 0.5236292004585266, -0.04429310858249663]","[0.5464032560586929, 0.06497824490070342, 0.38002527356147764, 0.6199359327554703, -0.11134273707866668]"
30,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Please help me find one-way flights.,"Sure, I can help you with that. Where are you planning to fly to?","[0.5, 0.75, 0.25, 0.5, 0.25]","[0.75, 0.5, 0.5, 0.75, 0.25]","[0.15946774184703827, 0.2311120331287384, 0.19061556458473206, 0.1895800679922104, 0.2292245477437973]","[0.16556595265865326, 0.24940291047096252, 0.1831701546907425, 0.18335473537445068, 0.21850629150867462]","[0.34053225815296173, 0.5188879668712616, 0.059384435415267944, 0.3104199320077896, 0.020775452256202698]","[0.5844340473413467, 0.2505970895290375, 0.3168298453092575, 0.5666452646255493, 0.03149370849132538]"
31,"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}","There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","[0.8, 0.6, 0.4, 0.7, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.3]","[0.14954012632369995, 0.24660328030586243, 0.2027653157711029, 0.18014566600322723, 0.2209455519914627]","[0.16731345653533936, 0.2504299283027649, 0.19747856259346008, 0.17984452843666077, 0.20493347942829132]","[0.6504598736763001, 0.35339671969413755, 0.19723468422889712, 0.5198543339967727, 0.07905444800853728]","[0.4326865434646606, 0.14957007169723513, 0.3025214374065399, 0.5201554715633392, 0.09506652057170867]"
32,"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}","Will you be seeking a dermatologist, ophthalmologist, or another specialist?",I need an ophthalmologist.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.2, 0.4, 0.6, 0.8]","[0.16186359524726868, 0.2343844175338745, 0.19732117652893066, 0.19417324662208557, 0.212257519364357]","[0.16725552082061768, 0.22569134831428528, 0.1985040158033371, 0.19109539687633514, 0.2174537181854248]","[0.4381364047527313, 0.5656155824661255, 0.20267882347106936, 0.4058267533779144, -0.012257519364356984]","[0.23274447917938235, -0.025691348314285267, 0.20149598419666293, 0.40890460312366483, 0.5825462818145752]"
33,Do you wish to play the movie?,Nope. I am not interested in doing it.,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Do you want to explore the movie world?,Nope. I am not interested in doing it.,"[0.8, 0.6, 0.75, 0.85, 0.4]","[0.3, 0.2, 0.2, 0.25, 0.7]","[0.16518865525722504, 0.23667439818382263, 0.20414763689041138, 0.1833030879497528, 0.21068620681762695]","[0.16422651708126068, 0.24402715265750885, 0.1794450432062149, 0.1881132870912552, 0.22418801486492157]","[0.634811344742775, 0.36332560181617735, 0.5458523631095886, 0.6666969120502472, 0.18931379318237307]","[0.1357734829187393, -0.04402715265750884, 0.020554956793785106, 0.06188671290874481, 0.4758119851350784]"
34,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}",I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"[0.4, 0.8, 0.2, 0.6, 0.2]","[0.3, 0.5, 0.4, 0.4, 0.3]","[0.15496328473091125, 0.24973836541175842, 0.1877143532037735, 0.18928322196006775, 0.2183007001876831]","[0.16299833357334137, 0.2432919442653656, 0.1839667409658432, 0.18742786347866058, 0.22231513261795044]","[0.24503671526908877, 0.5502616345882416, 0.012285646796226513, 0.41071677803993223, -0.018300700187683094]","[0.13700166642665862, 0.2567080557346344, 0.21603325903415682, 0.21257213652133944, 0.07768486738204955]"
